Wall time,Step,Value
1732135828.8765235,0,0.0
1732135829.718377,500,11.0
1732135830.5339258,1000,11.0
1732135831.4897177,1500,11.0
1732135832.3128138,2000,3.0
1732135833.1516876,2500,6.0
1732135834.0265424,3000,11.0
1732135834.9209569,3500,25.0
1732135835.7496278,4000,17.0
1732135836.547289,4500,0.0
1732135837.3639078,5000,3.0
1732135838.1658309,5500,0.0
1732135838.9810135,6000,3.0
1732135839.7984128,6500,3.0
1732135840.6196516,7000,6.0
1732135841.44533,7500,8.0
1732135842.4081168,8000,8.0
1732135843.2347872,8500,3.0
1732135844.055326,9000,3.0
1732135844.8770761,9500,8.0
1732136023.741295,10000,6.0
1732136643.4204538,10500,0.0
1732137278.5496106,11000,0.0
1732137893.4289417,11500,0.0
1732138502.6144392,12000,20.0
1732139126.793341,12500,20.0
1732139735.1895185,13000,38.0
1732140354.2425969,13500,14.0
1732140976.237946,14000,11.0
1732141598.820203,14500,17.0
1732142212.9531689,15000,15.0
1732142833.8651283,15500,3.0
1732143449.049247,16000,0.0
1732144063.7030697,16500,20.0
1732144690.998631,17000,20.0
1732145309.8748713,17500,56.0
1732145938.4303813,18000,31.0
1732146569.98909,18500,31.0
1732147214.0864027,19000,88.0
1732147833.8762763,19500,34.0
1732148654.961612,20000,45.0
1732149300.2903135,20500,51.0
1732149941.3208106,21000,46.0
1732150585.5930548,21500,35.0
1732151218.490546,22000,70.0
1732151862.3195343,22500,39.0
1732152504.6896977,23000,31.0
1732153149.5507329,23500,79.0
1732153766.8511393,24000,34.0
1732154396.30654,24500,37.0
1732155033.823782,25000,51.0
1732155680.19373,25500,51.0
1732156303.0841784,26000,54.0
1732156927.1134644,26500,46.0
1732157545.9345179,27000,59.0
1732158186.557989,27500,40.0
1732158832.3127077,28000,43.0
1732159437.7719245,28500,43.0
1732160006.3345423,29000,18.0
1732160558.823567,29500,29.0
1732161285.7582908,30000,28.0
1732161749.6580772,30500,18.0
1732162256.5075877,31000,12.0
1732162767.9534483,31500,17.0
1732163255.9166896,32000,17.0
1732163725.7522602,32500,15.0
1732164206.8160481,33000,21.0
1732164688.3581622,33500,49.0
1732165191.0284994,34000,32.0
1732165661.973336,34500,21.0
1732166142.1630225,35000,17.0
1732166622.9226902,35500,38.0
1732167105.6379414,36000,15.0
1732167517.33755,36500,15.0
1732167986.334267,37000,40.0
1732168444.6924148,37500,28.0
1732168957.811943,38000,15.0
1732169442.673044,38500,23.0
1732169912.5998929,39000,29.0
1732170401.4546924,39500,18.0
1732171074.8597596,40000,46.0
1732171537.3504403,40500,15.0
1732172024.494266,41000,71.0
1732172473.140425,41500,15.0
1732172964.4039388,42000,29.0
1732173465.3638914,42500,32.0
1732173937.9367855,43000,29.0
1732174464.1448932,43500,15.0
1732174933.6489606,44000,29.0
1732175362.2667427,44500,71.0
1732175831.5848708,45000,18.0
1732176290.2051392,45500,52.0
1732176728.1602473,46000,48.0
1732177216.1047068,46500,34.0
1732177756.4182332,47000,60.0
1732178286.17244,47500,15.0
1732178766.6980247,48000,23.0
1732179259.6099238,48500,60.0
1732179709.9151683,49000,57.0
1732180185.3127542,49500,26.0
1732180820.43314,50000,51.0
1732181363.5338242,50500,57.0
1732181886.4518807,51000,46.0
1732182418.9782467,51500,52.0
1732182920.9975646,52000,49.0
1732183411.5513635,52500,35.0
1732183901.1911108,53000,18.0
1732184368.7018352,53500,35.0
1732184855.7496908,54000,32.0
1732185324.177611,54500,34.0
1732185875.3617406,55000,60.0
1732186435.8280842,55500,40.0
1732186912.1999266,56000,45.0
1732187390.7121344,56500,43.0
1732187882.983626,57000,68.0
1732188395.695918,57500,68.0
1732188965.4278033,58000,71.0
1732189544.9760883,58500,71.0
1732190101.0872931,59000,68.0
1732190651.9945898,59500,59.0
1732191373.9787476,60000,85.0
1732191986.635907,60500,63.0
1732192616.0067148,61000,45.0
1732193249.5353277,61500,77.0
1732193957.33604,62000,79.0
1732194663.9161675,62500,79.0
1732195297.640449,63000,71.0
1732195924.5352178,63500,85.0
1732196554.081223,64000,82.0
1732197171.2338014,64500,54.0
1732197633.3961225,65000,34.0
1732198095.2632897,65500,60.0
1732198557.2185245,66000,18.0
1732199041.2088692,66500,29.0
1732199574.5207875,67000,25.0
1732200123.1611433,67500,51.0
1732200668.776139,68000,40.0
1732201211.5665662,68500,50.0
1732201735.4866424,69000,63.0
1732202326.5501866,69500,71.0
1732203117.6836867,70000,71.0
1732203695.2068076,70500,32.0
1732204256.837061,71000,85.0
1732204797.394464,71500,85.0
1732205343.3931556,72000,83.0
1732205877.219252,72500,99.0
1732206431.9879642,73000,97.0
1732206980.87042,73500,111.0
1732207532.6643176,74000,71.0
1732208069.4292176,74500,116.0
1732208527.5128524,75000,108.0
1732208950.8073206,75500,74.0
1732209343.9647403,76000,82.0
1732209784.5967624,76500,105.0
1732210224.910917,77000,54.0
1732210874.200544,77500,53.0
1732211496.9057782,78000,94.0
1732212112.7130759,78500,82.0
1732212616.2128944,79000,76.0
1732213219.48974,79500,60.0
1732213935.9892297,80000,80.0
1732214553.2345119,80500,134.0
1732215129.3190193,81000,62.0
1732215770.2594337,81500,77.0
1732216435.2663767,82000,74.0
1732217062.0506177,82500,102.0
1732217678.0420344,83000,80.0
1732218485.6901267,83500,37.0
1732219308.8458807,84000,77.0
1732220141.9254048,84500,105.0
1732220973.224072,85000,77.0
1732221783.7028642,85500,65.0
1732222594.2087662,86000,104.0
1732223437.596698,86500,60.0
1732224230.9450004,87000,85.0
1732225106.8006296,87500,62.0
1732225901.8489158,88000,91.0
1732226726.4561179,88500,54.0
1732227533.7605903,89000,56.0
1732228285.852853,89500,71.0
1732229325.977562,90000,62.0
1732230198.606008,90500,68.0
1732231075.0664065,91000,85.0
1732231905.73379,91500,59.0
1732232724.8575199,92000,32.0
1732233547.4405944,92500,40.0
1732234395.8692074,93000,46.0
1732235254.6185262,93500,63.0
1732236102.555209,94000,76.0
1732236921.0327806,94500,71.0
1732237790.941436,95000,114.0
1732238480.3104,95500,120.0
1732239093.6861944,96000,43.0
1732239742.2898679,96500,96.0
1732240373.6969767,97000,142.0
1732241019.89316,97500,54.0
1732241670.4862034,98000,62.0
1732242318.5783212,98500,122.0
1732242973.0488517,99000,60.0
1732243641.1130047,99500,54.0
1732244427.5240483,100000,149.0
1732245034.4276934,100500,152.0
1732245620.4450996,101000,152.0
1732246265.68218,101500,130.0
1732246902.3867433,102000,162.0
1732247542.3550189,102500,111.0
1732248208.246725,103000,107.0
1732248843.5580783,103500,54.0
1732249491.933024,104000,147.0
1732250158.0529525,104500,199.0
1732250808.4763706,105000,66.0
1732251446.493566,105500,159.0
1732252073.237421,106000,63.0
1732252607.10875,106500,108.0
1732253245.144878,107000,162.0
1732253886.5977504,107500,94.0
1732254535.6750038,108000,153.0
1732255166.8918498,108500,142.0
1732255809.082397,109000,155.0
1732256455.7316616,109500,164.0
1732257298.8012881,110000,128.0
1732257967.4987907,110500,138.0
1732258637.4076383,111000,141.0
1732259294.9029603,111500,142.0
1732259940.767789,112000,82.0
1732260575.1624203,112500,79.0
1732261151.597036,113000,136.0
1732261791.0895174,113500,93.0
1732262350.5065,114000,71.0
1732262946.1483197,114500,82.0
1732263603.6346266,115000,39.0
1732264249.4312844,115500,85.0
1732264897.6048627,116000,116.0
1732265550.0786922,116500,136.0
1732266206.358068,117000,151.0
1732266861.972282,117500,116.0
1732267514.9713712,118000,110.0
1732268152.2321432,118500,154.0
1732268811.875189,119000,90.0
1732269478.5352821,119500,162.0
1732270304.1836567,120000,143.0
1732270866.0561845,120500,110.0
1732271531.8595786,121000,138.0
1732272175.8310306,121500,130.0
1732272831.6069117,122000,116.0
1732273500.4676673,122500,160.0
1732274163.0076666,123000,82.0
1732274779.3682396,123500,46.0
1732275392.9415815,124000,136.0
1732276032.6675925,124500,122.0
1732276673.593575,125000,71.0
1732277307.2290626,125500,76.0
1732277865.7748682,126000,115.0
1732278447.6021678,126500,85.0
1732279031.137103,127000,20.0
1732279616.0287597,127500,96.0
1732280190.7410958,128000,135.0
1732280775.7163355,128500,93.0
1732281386.2913668,129000,88.0
1732281987.115718,129500,142.0
1732282748.154939,130000,127.0
1732283347.452076,130500,158.0
1732283951.5708468,131000,138.0
1732284557.325373,131500,116.0
1732285164.5194259,132000,146.0
1732285767.5552254,132500,127.0
1732286347.215004,133000,103.0
1732286923.416214,133500,88.0
1732287494.3338234,134000,121.0
1732288073.068367,134500,112.0
1732288683.4969478,135000,132.0
1732289259.1336825,135500,131.0
1732289868.1210594,136000,146.0
1732290527.544236,136500,163.0
1732291362.4000564,137000,129.0
1732292157.0422893,137500,146.0
1732292886.4441886,138000,127.0
1732293622.1088817,138500,157.0
1732294366.9491239,139000,151.0
1732295169.1911895,139500,187.0
1732295970.037582,140000,50.0
1732296546.695536,140500,77.0
1732297041.1526806,141000,78.0
1732297570.3678398,141500,116.0
1732298174.4693515,142000,94.0
1732298699.249924,142500,51.0
1732299231.012266,143000,179.0
1732299727.757395,143500,156.0
1732300235.8412938,144000,83.0
1732300764.0983117,144500,173.0
1732301287.0343223,145000,127.0
1732301815.3503168,145500,149.0
1732302356.1039805,146000,54.0
1732302861.8329906,146500,134.0
1732303365.7200968,147000,104.0
1732303895.3024695,147500,102.0
1732304494.8404374,148000,151.0
1732305160.6581085,148500,147.0
1732305720.3056252,149000,120.0
1732306254.5425382,149500,144.0
1732307026.1357906,150000,176.0
1732307699.8223999,150500,77.0
1732308370.9252048,151000,160.0
