Wall time,Step,Value
1732135721.293875,0,0.0
1732135721.9818227,500,6.0
1732135722.6592119,1000,8.0
1732135723.4320078,1500,17.0
1732135724.1182754,2000,11.0
1732135724.7971365,2500,11.0
1732135725.468649,3000,8.0
1732135726.1588204,3500,12.0
1732135726.827398,4000,11.0
1732135727.5041902,4500,6.0
1732135728.2067947,5000,17.0
1732135728.8931134,5500,11.0
1732135729.570981,6000,8.0
1732135730.2496953,6500,14.0
1732135730.961647,7000,17.0
1732135731.6326559,7500,6.0
1732135732.38696,8000,0.0
1732135733.0533872,8500,8.0
1732135733.7347333,9000,6.0
1732135734.4137304,9500,8.0
1732135906.1373122,10000,3.0
1732136767.4709606,10500,3.0
1732137591.8735187,11000,6.0
1732138444.783848,11500,11.0
1732139276.1436563,12000,6.0
1732140103.9606016,12500,17.0
1732140950.5316317,13000,11.0
1732141806.8571715,13500,20.0
1732142653.245194,14000,22.0
1732143506.6771119,14500,11.0
1732144241.5046167,15000,17.0
1732144922.9871356,15500,11.0
1732145771.2980382,16000,14.0
1732146614.565173,16500,14.0
1732147456.0325975,17000,25.0
1732148212.327516,17500,18.0
1732148910.7012026,18000,15.0
1732149547.0669034,18500,54.0
1732150252.2833555,19000,17.0
1732151045.0848863,19500,20.0
1732151846.022288,20000,37.0
1732152466.7918034,20500,17.0
1732153090.8055818,21000,38.0
1732153731.3890343,21500,21.0
1732154404.6359153,22000,23.0
1732155097.4726303,22500,31.0
1732155780.7435737,23000,20.0
1732156431.168917,23500,22.0
1732157058.4810586,24000,54.0
1732157726.532666,24500,18.0
1732158404.4994574,25000,20.0
1732159074.9860556,25500,40.0
1732159689.1671863,26000,45.0
1732160295.583038,26500,33.0
1732160921.7939947,27000,25.0
1732161545.8931124,27500,0.0
1732162163.6905046,28000,17.0
1732162839.4524732,28500,12.0
1732163546.7214963,29000,72.0
1732164235.570042,29500,56.0
1732165057.201144,30000,59.0
1732165789.0991023,30500,34.0
1732166528.7221675,31000,42.0
1732167162.9537127,31500,42.0
1732167803.2230942,32000,9.0
1732168511.7764206,32500,73.0
1732169199.065996,33000,20.0
1732169878.8959503,33500,39.0
1732170558.6506934,34000,36.0
1732171246.7116904,34500,94.0
1732171942.2802699,35000,31.0
1732172626.5251527,35500,42.0
1732173334.4197872,36000,50.0
1732174041.0952642,36500,31.0
1732174708.6965764,37000,50.0
1732175357.7409353,37500,50.0
1732176000.0782347,38000,28.0
1732176644.667724,38500,29.0
1732177384.330373,39000,36.0
1732178109.5060499,39500,26.0
1732178975.713952,40000,33.0
1732179609.3664074,40500,39.0
1732180219.6757317,41000,26.0
1732180906.5668898,41500,28.0
1732181694.401772,42000,23.0
1732182437.5978634,42500,46.0
1732183087.9143243,43000,31.0
1732183716.5237007,43500,26.0
1732184358.2224424,44000,43.0
1732184996.3122969,44500,23.0
1732185633.8550644,45000,18.0
1732186260.6002867,45500,45.0
1732186894.16929,46000,18.0
1732187532.3196306,46500,40.0
1732188177.650903,47000,59.0
1732188826.5988915,47500,54.0
1732189465.310217,48000,23.0
1732190106.9836721,48500,49.0
1732190746.576877,49000,32.0
1732191380.3936722,49500,18.0
1732192187.6136959,50000,65.0
1732192831.3941019,50500,113.0
1732193477.8083622,51000,51.0
1732194122.8200645,51500,77.0
1732194761.042568,52000,45.0
1732195396.8337672,52500,23.0
1732196032.1496224,53000,26.0
1732196677.617635,53500,68.0
1732197307.1091897,54000,46.0
1732197937.2531052,54500,51.0
1732198571.8309174,55000,101.0
1732199207.562415,55500,83.0
1732199843.583103,56000,56.0
1732200491.2763896,56500,37.0
1732201142.5624995,57000,35.0
1732201783.4113562,57500,54.0
1732202418.815386,58000,40.0
1732203056.8927972,58500,40.0
1732203693.3666143,59000,62.0
1732204338.0041685,59500,57.0
1732205143.5113497,60000,15.0
1732205788.1080916,60500,37.0
1732206426.0363436,61000,51.0
1732207068.5311158,61500,52.0
1732207708.8151455,62000,54.0
1732208350.9723175,62500,26.0
1732208958.4371557,63000,35.0
1732209562.0228157,63500,68.0
1732210168.2448785,64000,43.0
1732210779.5109766,64500,49.0
1732211388.4009,65000,69.0
1732211982.5998132,65500,39.0
1732212570.756918,66000,43.0
1732213178.857496,66500,35.0
1732213757.9406383,67000,26.0
1732214346.2488549,67500,54.0
1732214937.0775776,68000,35.0
1732215537.6928666,68500,68.0
1732216125.7591708,69000,63.0
1732216718.931619,69500,60.0
1732217482.0143101,70000,68.0
1732218060.4974449,70500,98.0
1732218703.6244662,71000,63.0
1732219322.110725,71500,115.0
1732219934.3186872,72000,65.0
1732220525.3134766,72500,60.0
1732221116.5509658,73000,57.0
1732221715.3789468,73500,122.0
1732222351.1816473,74000,107.0
1732223171.6273818,74500,57.0
1732223969.705168,75000,107.0
1732224766.848724,75500,65.0
1732225581.8065355,76000,82.0
1732226234.6100183,76500,46.0
1732227052.0548468,77000,60.0
1732227886.0165818,77500,69.0
1732228689.4013846,78000,74.0
1732229545.9606462,78500,46.0
1732230366.9447203,79000,74.0
1732231186.4538136,79500,71.0
1732232156.724257,80000,46.0
1732232992.1602862,80500,18.0
1732233816.9803467,81000,43.0
1732234638.8133357,81500,46.0
1732235459.8460813,82000,52.0
1732236129.9737403,82500,52.0
1732236814.6203656,83000,32.0
1732237489.921883,83500,66.0
1732238164.1923254,84000,110.0
1732238817.2589204,84500,46.0
1732239359.942994,85000,68.0
1732240042.1269298,85500,57.0
1732240716.2236617,86000,127.0
1732241385.1611066,86500,49.0
1732242029.4648364,87000,69.0
1732242796.77137,87500,60.0
1732243553.3167355,88000,91.0
1732244304.249972,88500,18.0
1732245098.8221686,89000,18.0
1732245920.0463262,89500,94.0
1732246847.607201,90000,80.0
1732247539.930792,90500,69.0
1732248092.7733994,91000,35.0
1732248660.1453679,91500,35.0
1732249238.2536662,92000,49.0
1732249858.6821022,92500,43.0
1732250432.327544,93000,35.0
1732251061.8076458,93500,88.0
1732251685.1736512,94000,63.0
1732252308.9714975,94500,137.0
1732252946.615549,95000,86.0
1732253572.4798818,95500,97.0
1732254150.9085472,96000,77.0
1732254767.3822443,96500,100.0
1732255388.4545398,97000,85.0
1732256020.1409492,97500,105.0
1732256646.0579956,98000,91.0
1732257265.7293081,98500,77.0
1732257887.5601234,99000,91.0
1732258518.6310856,99500,49.0
1732259315.175319,100000,85.0
1732259947.7020676,100500,72.0
1732260572.927243,101000,46.0
1732261198.8991787,101500,63.0
1732261829.5593104,102000,79.0
1732262459.6355696,102500,46.0
1732263090.7035096,103000,116.0
1732263730.821637,103500,69.0
1732264369.3601384,104000,80.0
1732265001.879537,104500,49.0
1732265634.2389407,105000,60.0
1732266270.5747664,105500,63.0
1732266901.9131,106000,63.0
1732267530.1827114,106500,46.0
1732268163.2921128,107000,69.0
1732268792.3100102,107500,88.0
1732269423.1526186,108000,76.0
1732270053.5458336,108500,143.0
1732270680.1125708,109000,91.0
1732271303.2924802,109500,88.0
1732272103.2769773,110000,74.0
1732272728.5936298,110500,79.0
1732273350.5745542,111000,68.0
1732273973.7978466,111500,68.0
1732274602.890278,112000,77.0
1732275235.920977,112500,52.0
1732275865.843916,113000,94.0
1732276500.3843687,113500,83.0
1732277141.3594117,114000,115.0
1732277733.7530553,114500,18.0
1732278315.7380729,115000,99.0
1732278897.0298824,115500,102.0
1732279495.3550267,116000,80.0
1732280084.7752333,116500,85.0
1732280674.934374,117000,79.0
1732281260.7797837,117500,77.0
1732281838.4477334,118000,130.0
1732282434.5110812,118500,88.0
1732283032.0675147,119000,68.0
1732283617.9632623,119500,69.0
1732284378.5067718,120000,111.0
1732284971.8364928,120500,29.0
1732285553.2951102,121000,60.0
1732286138.1514587,121500,68.0
1732286713.620942,122000,102.0
1732287281.0629303,122500,63.0
1732287875.83946,123000,35.0
1732288474.0309443,123500,80.0
1732289098.3507383,124000,85.0
1732289731.1195545,124500,80.0
1732290366.3658237,125000,138.0
1732291000.999676,125500,18.0
1732291625.382328,126000,63.0
1732292233.685708,126500,57.0
1732292838.3354957,127000,110.0
1732293450.7332866,127500,190.0
1732294065.1047413,128000,46.0
1732294678.2494938,128500,107.0
1732295284.078746,129000,46.0
1732295901.0377834,129500,68.0
1732296702.0922916,130000,165.0
1732297332.143553,130500,108.0
1732297957.251044,131000,60.0
1732298576.5777998,131500,94.0
1732299189.2993343,132000,105.0
1732299804.3435152,132500,52.0
1732300422.226859,133000,69.0
1732301048.8892536,133500,35.0
1732301673.2807395,134000,35.0
1732302295.8171155,134500,46.0
1732302913.6370432,135000,49.0
1732303532.7235816,135500,60.0
1732304149.9301927,136000,125.0
1732304764.7478795,136500,132.0
1732305379.4758148,137000,91.0
1732305996.2661679,137500,88.0
1732306613.5240028,138000,83.0
1732307228.8738778,138500,91.0
1732307845.2575078,139000,35.0
1732308463.4137247,139500,91.0
