Wall time,Step,Value
1732231116.7277286,0,0.0
1732231117.6641867,500,8.0
1732231118.567632,1000,3.0
1732231119.4242387,1500,14.0
1732231120.029871,2000,0.0
1732231120.6337712,2500,0.0
1732231121.2624025,3000,12.0
1732231121.8670654,3500,0.0
1732231122.4819367,4000,8.0
1732231123.0946155,4500,3.0
1732231123.7274215,5000,3.0
1732231124.3550384,5500,22.0
1732231124.9712756,6000,8.0
1732231125.570987,6500,0.0
1732231126.213416,7000,14.0
1732231126.8099678,7500,0.0
1732231127.5558379,8000,3.0
1732231128.1782985,8500,14.0
1732231128.7788577,9000,0.0
1732231129.383822,9500,0.0
1732231310.9268215,10000,17.0
1732231964.6234102,10500,3.0
1732232641.2696226,11000,3.0
1732233298.4751897,11500,9.0
1732233969.2215483,12000,26.0
1732234711.068928,12500,12.0
1732235396.1239693,13000,23.0
1732236075.365431,13500,17.0
1732236740.109406,14000,12.0
1732237407.3310523,14500,17.0
1732238168.2144573,15000,14.0
1732238844.1543198,15500,23.0
1732239698.7046297,16000,28.0
1732242170.1252472,16500,23.0
1732243101.8311148,17000,22.0
1732244349.872361,17500,40.0
1732245433.8078744,18000,20.0
1732246272.7807314,18500,33.0
1732247166.6219637,19000,9.0
1732247912.4135885,19500,15.0
1732248811.6641045,20000,14.0
1732249579.6846602,20500,65.0
1732250373.5245848,21000,39.0
1732251138.5415504,21500,63.0
1732251892.9515078,22000,43.0
1732252671.7526243,22500,56.0
1732253435.9745414,23000,40.0
1732254197.5057359,23500,40.0
1732255001.3294694,24000,76.0
1732255923.5923798,24500,54.0
1732256840.5115414,25000,47.0
1732257742.469583,25500,37.0
1732258664.1713572,26000,55.0
1732259570.670485,26500,53.0
1732261907.1445756,27000,31.0
1732264646.6328895,27500,46.0
1732267353.3942595,28000,32.0
1732269779.530786,28500,37.0
1732273341.3055112,29000,26.0
1732275293.9374766,29500,65.0
1732276070.5880222,30000,73.0
1732276816.0400126,30500,45.0
1732277578.630513,31000,31.0
1732278326.375994,31500,79.0
1732279104.8152878,32000,35.0
1732279865.7695098,32500,48.0
1732280646.1331575,33000,65.0
1732281411.729846,33500,35.0
1732282171.2470007,34000,53.0
1732283123.7614074,34500,46.0
1732284047.7374866,35000,57.0
1732285004.1771996,35500,65.0
1732285904.2689972,36000,66.0
1732286881.8509662,36500,49.0
1732287735.3584428,37000,49.0
1732288701.7712412,37500,60.0
1732289785.5373244,38000,50.0
1732290816.7773309,38500,54.0
1732291893.9165955,39000,45.0
1732292977.8035188,39500,33.0
1732294071.2070937,40000,60.0
1732295084.7112265,40500,57.0
1732296097.9441063,41000,57.0
1732297113.4950504,41500,54.0
1732298195.0703955,42000,60.0
1732299300.8046374,42500,63.0
1732300541.1417797,43000,79.0
1732301868.1074438,43500,104.0
1732303149.4786723,44000,35.0
1732304946.4155023,44500,80.0
1732306870.5916946,45000,68.0
1732308708.347268,45500,51.0
1732310368.978815,46000,93.0
1732311906.3356106,46500,54.0
1732313409.5491078,47000,136.0
1732314972.364795,47500,71.0
1732316147.3054695,48000,101.0
1732317247.4658756,48500,49.0
1732318331.0460734,49000,99.0
1732319308.8532512,49500,74.0
1732320402.6077852,50000,122.0
1732321458.2932594,50500,49.0
1732322493.7403615,51000,91.0
1732323530.5279312,51500,150.0
1732324579.0976198,52000,119.0
1732325660.3343458,52500,77.0
1732326785.049391,53000,60.0
1732327766.0145104,53500,97.0
1732328623.233154,54000,116.0
1732329661.3406157,54500,199.0
1732330689.9731991,55000,169.0
1732331393.2603326,55500,178.0
1732332125.2367744,56000,181.0
1732333117.2011223,56500,172.0
1732334276.6696115,57000,166.0
1732335437.400711,57500,152.0
1732336561.9886603,58000,170.0
1732337384.1176295,58500,147.0
1732338525.3577473,59000,191.0
1732339684.0582736,59500,155.0
1732340917.420878,60000,193.0
1732342112.7628443,60500,175.0
1732343412.4612029,61000,175.0
1732344787.3062887,61500,178.0
1732345821.5961266,62000,160.0
1732346935.8881385,62500,165.0
1732348068.3719668,63000,167.0
1732349271.2629304,63500,166.0
1732350407.0941775,64000,175.0
1732351337.5282183,64500,164.0
1732352285.365193,65000,104.0
1732353202.040746,65500,74.0
1732354187.2490585,66000,196.0
1732355230.7193248,66500,139.0
1732356337.462705,67000,175.0
1732357432.6291986,67500,178.0
1732358610.3351192,68000,108.0
1732359819.1792686,68500,169.0
1732360991.752488,69000,175.0
1732362254.0236578,69500,190.0
1732363692.564699,70000,163.0
1732364385.3850765,70500,175.0
1732364991.1726398,71000,43.0
1732365622.8140318,71500,193.0
1732366281.2511353,72000,110.0
1732367005.020357,72500,196.0
1732367688.9312348,73000,134.0
1732368373.5001366,73500,180.0
1732369067.243294,74000,85.0
1732369651.8553314,74500,166.0
1732370227.6293654,75000,127.0
1732370826.5026624,75500,169.0
1732371401.355979,76000,141.0
1732371964.3909116,76500,49.0
1732372526.3983767,77000,139.0
1732373077.3662808,77500,32.0
1732373635.7490633,78000,162.0
1732374269.4780042,78500,141.0
1732374875.5042107,79000,138.0
1732375608.2051284,79500,130.0
1732376591.7689135,80000,150.0
1732377380.002718,80500,155.0
1732377982.6973963,81000,176.0
1732378674.5219805,81500,181.0
1732379378.769799,82000,114.0
1732380097.5023906,82500,172.0
1732380839.8447826,83000,199.0
1732381669.1386132,83500,170.0
1732382256.2927709,84000,196.0
1732383184.5672822,84500,187.0
1732384005.187412,85000,164.0
1732384788.4424284,85500,178.0
1732386156.2714572,86000,177.0
1732387306.9100614,86500,182.0
1732389239.5997791,87000,205.0
1732391572.8901677,87500,147.0
1732392638.293451,88000,153.0
1732393569.38054,88500,175.0
1732394518.4404972,89000,55.0
1732395467.0260086,89500,105.0
1732396724.7882211,90000,151.0
1732398197.839899,90500,167.0
1732399446.7713141,91000,169.0
1732400382.6446283,91500,15.0
1732401255.8801172,92000,136.0
1732402146.537484,92500,164.0
1732403182.324925,93000,145.0
