Wall time,Step,Value
1732199111.9453497,0,0.0
1732199112.7485054,500,3.0
1732199113.501407,1000,9.0
1732199114.3049061,1500,6.0
1732199115.0316126,2000,3.0
1732199115.6968358,2500,6.0
1732199116.3007908,3000,17.0
1732199116.9171984,3500,18.0
1732199117.5199015,4000,6.0
1732199118.1125143,4500,6.0
1732199118.6814127,5000,3.0
1732199119.2743077,5500,6.0
1732199119.8807092,6000,14.0
1732199120.465044,6500,6.0
1732199121.0392814,7000,6.0
1732199121.7273185,7500,11.0
1732199122.3022966,8000,3.0
1732199122.9008129,8500,9.0
1732199123.4613101,9000,0.0
1732199124.0564675,9500,14.0
1732199239.9873297,10000,6.0
1732200515.3442433,10500,3.0
1732201607.4094756,11000,0.0
1732202692.5206754,11500,3.0
1732203912.7772605,12000,3.0
1732204960.1769798,12500,3.0
1732206134.268883,13000,0.0
1732207073.9707117,13500,0.0
1732208317.283433,14000,3.0
1732209302.8580449,14500,6.0
1732211951.8201516,15000,3.0
1732214853.5077686,15500,3.0
1732216773.1438901,16000,3.0
1732217802.2736003,16500,0.0
1732218933.3227348,17000,18.0
1732220055.3414857,17500,18.0
1732221090.9477344,18000,18.0
1732222058.9482584,18500,18.0
1732222976.867331,19000,18.0
1732223858.059997,19500,15.0
1732224787.544142,20000,18.0
1732225715.631247,20500,18.0
1732226784.4429102,21000,21.0
1732227665.891054,21500,18.0
1732228524.0283825,22000,18.0
1732229340.6712363,22500,18.0
1732230176.9777963,23000,18.0
1732231153.2918165,23500,21.0
1732232069.8539062,24000,18.0
1732232906.07991,24500,18.0
1732233807.4738216,25000,18.0
1732234610.1886654,25500,9.0
1732235394.9569483,26000,18.0
1732236296.2944095,26500,12.0
1732237731.2143207,27000,18.0
1732238573.9736998,27500,18.0
1732239431.3145478,28000,18.0
1732240294.3163178,28500,18.0
1732241154.549144,29000,18.0
1732241989.934357,29500,15.0
1732242994.598206,30000,21.0
1732243805.760031,30500,21.0
1732244548.5558925,31000,15.0
1732245336.4630244,31500,18.0
1732246168.2838151,32000,15.0
1732246974.9942765,32500,18.0
1732247706.5480964,33000,18.0
1732248471.3536456,33500,18.0
1732249165.7571115,34000,18.0
1732249826.236599,34500,18.0
1732250522.2257822,35000,21.0
1732251209.0839753,35500,21.0
1732251901.7379127,36000,18.0
1732252594.5481055,36500,18.0
1732253280.9905586,37000,40.0
1732253949.08218,37500,18.0
1732254669.7235146,38000,6.0
1732255360.6174037,38500,18.0
1732256082.8611505,39000,21.0
1732256796.9551353,39500,15.0
1732257582.778563,40000,18.0
1732258295.5919726,40500,15.0
1732259017.9083579,41000,12.0
1732260027.3359644,41500,12.0
1732262651.8997605,42000,15.0
1732264125.9125235,42500,18.0
1732265208.588329,43000,15.0
1732266585.5153563,43500,18.0
1732267944.480925,44000,18.0
1732269220.0120468,44500,18.0
1732270424.561891,45000,18.0
1732271686.7532196,45500,18.0
1732272712.6908288,46000,18.0
1732273791.5368514,46500,18.0
1732275084.7343493,47000,18.0
1732276234.575744,47500,15.0
1732277350.9885528,48000,18.0
1732278470.9122188,48500,18.0
1732279561.9911048,49000,18.0
1732280661.6911185,49500,12.0
1732281802.3215895,50000,15.0
1732282956.3615015,50500,15.0
1732284102.4754689,51000,18.0
1732285241.9462373,51500,18.0
1732286387.817607,52000,15.0
1732287530.8427758,52500,12.0
1732288679.6934648,53000,18.0
1732289799.515299,53500,26.0
1732290929.11324,54000,29.0
1732292066.4275968,54500,18.0
1732294332.7073967,55000,12.0
1732296617.5115392,55500,18.0
1732298777.4796488,56000,18.0
1732300138.4786024,56500,21.0
1732301327.935456,57000,18.0
1732302492.5567405,57500,18.0
1732303854.8109474,58000,29.0
1732306287.7047513,58500,12.0
1732308727.1485217,59000,21.0
1732311179.6947255,59500,18.0
1732313365.0308065,60000,32.0
1732315365.9276311,60500,12.0
1732316296.0732298,61000,18.0
1732317336.948911,61500,21.0
1732319034.642773,62000,12.0
1732320289.309853,62500,21.0
1732321363.7879114,63000,21.0
1732322497.8263025,63500,18.0
1732323526.1216054,64000,18.0
1732324551.0475845,64500,18.0
1732325666.0455222,65000,6.0
1732327262.8356278,65500,18.0
1732328411.7416983,66000,18.0
1732329752.870808,66500,18.0
1732331080.4160755,67000,21.0
1732332322.8627737,67500,12.0
1732333785.831677,68000,21.0
1732335791.0025196,68500,15.0
1732337243.7518318,69000,15.0
1732340246.0503724,69500,21.0
1732343697.3009958,70000,18.0
1732345672.5904129,70500,49.0
1732348012.7544832,71000,18.0
1732350862.0290494,71500,26.0
1732352831.7564619,72000,18.0
1732354853.2606432,72500,18.0
1732356356.0914748,73000,18.0
1732357891.4478233,73500,18.0
1732358963.8064032,74000,18.0
1732360274.8338816,74500,23.0
1732361647.2330973,75000,18.0
1732362672.8845856,75500,21.0
1732363716.7857134,76000,32.0
1732364619.2477863,76500,15.0
1732365427.2666957,77000,18.0
1732366372.487472,77500,18.0
1732367529.2148237,78000,18.0
1732368627.5361943,78500,21.0
1732369419.581276,79000,18.0
1732370196.2013412,79500,9.0
1732371237.289492,80000,18.0
