Wall time,Step,Value
1732230322.9430017,0,0.0
1732230323.7502565,500,15.0
1732230324.5254488,1000,0.0
1732230325.3887959,1500,6.0
1732230326.02841,2000,3.0
1732230326.6805956,2500,6.0
1732230327.3326046,3000,6.0
1732230327.9641237,3500,3.0
1732230328.6410577,4000,9.0
1732230329.397569,4500,3.0
1732230330.2814822,5000,3.0
1732230331.1739955,5500,6.0
1732230331.8627262,6000,3.0
1732230332.5161443,6500,3.0
1732230333.1845412,7000,6.0
1732230333.917345,7500,0.0
1732230334.5755677,8000,3.0
1732230335.2349243,8500,11.0
1732230335.8812513,9000,6.0
1732230336.5491006,9500,6.0
1732230456.1296356,10000,11.0
1732231478.3172555,10500,0.0
1732232429.174172,11000,0.0
1732233579.8889432,11500,0.0
1732234712.860822,12000,0.0
1732235893.98599,12500,0.0
1732237042.0838473,13000,0.0
1732238355.9630759,13500,9.0
1732239420.8379445,14000,3.0
1732240655.7579029,14500,6.0
1732242066.6679757,15000,3.0
1732243060.3237803,15500,6.0
1732244181.755544,16000,18.0
1732245187.9492426,16500,18.0
1732246203.4203298,17000,12.0
1732247097.449322,17500,21.0
1732247958.8774266,18000,15.0
1732248792.4882944,18500,12.0
1732249542.4600031,19000,12.0
1732250366.9041393,19500,18.0
1732251291.754028,20000,15.0
1732252147.1492674,20500,18.0
1732252999.5126998,21000,15.0
1732253867.713356,21500,18.0
1732254752.5709636,22000,21.0
1732255622.4932804,22500,18.0
1732256482.690758,23000,21.0
1732257367.8497875,23500,18.0
1732258244.4669347,24000,18.0
1732259111.6428633,24500,21.0
1732260689.6707642,25000,15.0
1732262517.4913251,25500,12.0
1732264377.0990655,26000,18.0
1732266283.5423634,26500,18.0
1732268281.1720364,27000,18.0
1732269976.536644,27500,12.0
1732271534.2932167,28000,18.0
1732272939.5996807,28500,18.0
1732273984.8507159,29000,9.0
1732275017.7849526,29500,15.0
1732276257.4980242,30000,18.0
1732277337.7035327,30500,15.0
1732278281.45329,31000,21.0
1732279216.8325498,31500,26.0
1732280145.2373488,32000,18.0
1732281071.7522562,32500,21.0
1732282014.8689857,33000,18.0
1732282947.8746963,33500,18.0
1732283877.6962924,34000,18.0
1732284816.805987,34500,18.0
1732285747.868656,35000,15.0
1732286692.022638,35500,21.0
1732287600.4084957,36000,18.0
1732288552.883532,36500,21.0
1732289529.1499848,37000,18.0
1732290487.178578,37500,12.0
1732291451.2321439,38000,18.0
1732292862.3542838,38500,6.0
1732294385.036375,39000,21.0
1732295887.1017573,39500,15.0
1732297071.7007504,40000,15.0
1732298588.6190388,40500,35.0
1732300112.2151399,41000,18.0
1732301323.5064604,41500,21.0
1732302620.8051305,42000,18.0
1732304297.285611,42500,23.0
1732305977.7424645,43000,18.0
1732307933.3794777,43500,18.0
1732309802.7973373,44000,15.0
1732311617.6265278,44500,18.0
1732313449.5960581,45000,18.0
1732315442.5808456,45500,18.0
1732317396.304187,46000,18.0
1732319526.7565079,46500,21.0
1732321591.3242133,47000,21.0
1732323243.704931,47500,18.0
1732324784.7755625,48000,21.0
1732326365.806475,48500,15.0
1732327893.0429385,49000,24.0
1732329778.383232,49500,15.0
1732331739.3346853,50000,18.0
1732333290.3631868,50500,20.0
1732334878.16782,51000,12.0
1732336600.6714916,51500,12.0
1732338081.3332803,52000,12.0
1732339324.473829,52500,15.0
1732340779.5774493,53000,18.0
1732342060.015203,53500,15.0
1732343256.532561,54000,18.0
1732344892.688259,54500,18.0
1732347017.9538758,55000,21.0
1732348281.6152575,55500,21.0
1732349336.5488145,56000,21.0
1732350791.0020552,56500,26.0
1732352614.104727,57000,18.0
1732353881.7045786,57500,15.0
1732355242.120562,58000,18.0
1732356728.5166037,58500,15.0
1732358009.1442652,59000,15.0
1732359960.569635,59500,21.0
1732362340.2028806,60000,26.0
1732363790.8017569,60500,18.0
1732364850.7559028,61000,21.0
1732365653.4433641,61500,15.0
1732366542.2217662,62000,6.0
1732367454.622077,62500,18.0
1732368580.0165448,63000,21.0
1732369750.472419,63500,21.0
1732370635.438091,64000,21.0
1732371530.507976,64500,21.0
1732372408.311415,65000,23.0
1732373297.9615428,65500,18.0
1732374152.0456944,66000,18.0
1732375006.4648643,66500,15.0
1732376054.3232384,67000,15.0
1732377552.803124,67500,9.0
1732379313.0174518,68000,9.0
1732380760.7012045,68500,9.0
1732382386.0823553,69000,12.0
1732384478.8888104,69500,12.0
1732386151.0841882,70000,15.0
1732387706.12629,70500,18.0
1732388435.265381,71000,18.0
1732389216.8629217,71500,12.0
1732390281.8499458,72000,12.0
1732391695.4936085,72500,6.0
1732393294.1333547,73000,15.0
1732394207.2654188,73500,12.0
1732395180.2118096,74000,6.0
1732396213.2689083,74500,18.0
1732397225.3689914,75000,15.0
1732398188.002945,75500,15.0
1732399173.2082567,76000,18.0
1732400149.9558754,76500,18.0
1732401133.472811,77000,12.0
1732402074.2366915,77500,26.0
1732403047.870402,78000,18.0
