Wall time,Step,Value
1732383608.4039404,0,0.0
1732383609.1708317,500,9.0
1732383609.949437,1000,9.0
1732383610.6999855,1500,9.0
1732383611.3174617,2000,3.0
1732383611.9529138,2500,3.0
1732383612.5864348,3000,9.0
1732383613.2198231,3500,6.0
1732383613.8710172,4000,6.0
1732383614.498083,4500,0.0
1732383615.1351545,5000,12.0
1732383615.767622,5500,6.0
1732383616.4081907,6000,6.0
1732383617.0226216,6500,3.0
1732383617.6749692,7000,6.0
1732383618.4674492,7500,0.0
1732383619.1134238,8000,14.0
1732383619.7489564,8500,3.0
1732383620.3812048,9000,3.0
1732383621.016405,9500,11.0
1732383779.0084167,10000,9.0
1732384813.0228474,10500,3.0
1732385845.9814231,11000,0.0
1732386920.279928,11500,0.0
1732387924.4995172,12000,3.0
1732388933.1854632,12500,0.0
1732390269.4783525,13000,0.0
1732391512.0096915,13500,0.0
1732392726.289198,14000,6.0
1732393775.3421676,14500,0.0
1732394843.6392272,15000,0.0
1732395890.8330195,15500,0.0
1732396975.1440506,16000,0.0
1732397967.8531413,16500,6.0
1732399022.2743433,17000,3.0
1732400058.5265484,17500,0.0
1732401040.2522378,18000,6.0
1732402103.8824525,18500,3.0
1732403128.7118125,19000,3.0
1732404148.7490547,19500,0.0
1732405241.8855,20000,9.0
1732406354.3947103,20500,15.0
1732407476.0799074,21000,17.0
1732408585.7074792,21500,12.0
1732409601.3798234,22000,0.0
1732410604.450566,22500,12.0
1732411636.4066117,23000,12.0
1732412777.7233942,23500,6.0
1732413858.5134118,24000,15.0
1732414955.588463,24500,15.0
1732416018.2941124,25000,15.0
1732417133.8781004,25500,15.0
1732418294.2139516,26000,15.0
1732419431.3803556,26500,9.0
1732420608.046071,27000,12.0
1732421787.2439845,27500,15.0
1732422871.7139308,28000,17.0
1732423970.2647011,28500,25.0
1732425068.7933388,29000,15.0
1732426169.7939475,29500,3.0
1732427357.642351,30000,9.0
1732428415.6981037,30500,3.0
1732429551.1293855,31000,0.0
1732430628.6230953,31500,8.0
1732431672.1538963,32000,11.0
1732432665.9341152,32500,3.0
1732433690.6062393,33000,6.0
1732434668.4397807,33500,15.0
1732435693.102636,34000,12.0
1732436754.4946501,34500,12.0
1732437741.4482596,35000,17.0
1732438738.4021568,35500,9.0
1732439711.554325,36000,19.0
1732440742.9163325,36500,31.0
1732441941.7327666,37000,14.0
1732443185.1032443,37500,15.0
1732444340.9247322,38000,9.0
1732445434.52142,38500,14.0
1732446540.4137495,39000,22.0
1732447650.3120182,39500,17.0
1732448834.4954655,40000,15.0
1732449864.1532326,40500,20.0
1732451173.0682862,41000,12.0
1732452587.1944458,41500,9.0
1732454116.3497684,42000,6.0
1732455469.8766239,42500,12.0
1732456811.4031696,43000,12.0
1732458214.5103664,43500,18.0
1732459693.9596326,44000,18.0
1732461605.3721466,44500,15.0
1732463216.2087178,45000,15.0
1732464661.6640904,45500,15.0
1732466082.3946733,46000,29.0
1732467525.8138218,46500,15.0
1732468822.437175,47000,15.0
1732470014.1590953,47500,26.0
1732471489.6481194,48000,20.0
1732472897.734169,48500,18.0
1732474556.424951,49000,15.0
1732476059.0971684,49500,14.0
1732477631.9220936,50000,23.0
1732479077.4648654,50500,18.0
1732480549.2241414,51000,18.0
1732481922.872929,51500,15.0
1732483159.0492744,52000,12.0
1732484079.6568747,52500,20.0
1732484980.622846,53000,18.0
1732486049.5692427,53500,26.0
1732487095.0789535,54000,15.0
1732488281.016498,54500,26.0
1732489499.7273383,55000,18.0
1732490724.21416,55500,21.0
1732491788.0064375,56000,37.0
1732492890.272955,56500,15.0
1732493908.2254636,57000,18.0
1732494886.1615286,57500,18.0
1732495845.9087684,58000,20.0
1732497066.1387527,58500,23.0
1732498180.6719177,59000,21.0
1732499318.4844704,59500,18.0
1732501261.140195,60000,32.0
1732502688.7131863,60500,18.0
1732504268.5052981,61000,18.0
1732505803.4480634,61500,18.0
1732507271.7675052,62000,29.0
1732508920.6150641,62500,15.0
1732510861.7681053,63000,18.0
1732512795.5202658,63500,18.0
1732514716.19606,64000,18.0
1732516425.1973,64500,15.0
1732518241.92149,65000,32.0
1732520384.9486787,65500,43.0
1732522146.1439445,66000,29.0
1732523686.1803622,66500,18.0
1732525335.031202,67000,23.0
1732527088.3408365,67500,18.0
1732528662.367473,68000,37.0
1732530211.3421388,68500,32.0
1732531654.8680763,69000,21.0
1732533042.830892,69500,23.0
1732534618.4484127,70000,15.0
1732536105.6851716,70500,43.0
1732537608.9802306,71000,40.0
1732538740.7231631,71500,9.0
1732540167.1381545,72000,23.0
1732541441.7719393,72500,37.0
1732542562.2834682,73000,23.0
1732543830.3899393,73500,26.0
1732545007.5504897,74000,40.0
1732546711.9605155,74500,26.0
1732548235.0152123,75000,26.0
1732549536.481964,75500,17.0
1732550815.4537313,76000,12.0
1732551940.9693816,76500,17.0
1732553148.9899986,77000,20.0
1732554657.6143403,77500,28.0
1732556141.7948058,78000,26.0
