Wall time,Step,Value
1732382222.196984,0,0.0
1732382223.0192688,500,6.0
1732382223.7950883,1000,9.0
1732382224.5903616,1500,9.0
1732382225.3989058,2000,9.0
1732382226.1166599,2500,3.0
1732382226.7224333,3000,0.0
1732382227.568627,3500,3.0
1732382228.3548784,4000,3.0
1732382229.1141372,4500,6.0
1732382229.9537997,5000,6.0
1732382230.6040876,5500,16.0
1732382231.2242079,6000,6.0
1732382231.8637302,6500,3.0
1732382232.489504,7000,6.0
1732382233.1284435,7500,3.0
1732382233.9223576,8000,3.0
1732382234.6869967,8500,6.0
1732382235.4618828,9000,0.0
1732382236.1479964,9500,11.0
1732382430.6338382,10000,0.0
1732383264.6775856,10500,11.0
1732384156.3460922,11000,0.0
1732384878.826226,11500,6.0
1732385567.2526402,12000,9.0
1732386274.1411994,12500,11.0
1732386985.4658363,13000,3.0
1732387693.7730532,13500,9.0
1732388397.9929562,14000,9.0
1732389101.3996844,14500,12.0
1732389825.1082692,15000,9.0
1732390558.8241174,15500,9.0
1732391467.2551258,16000,9.0
1732392260.661019,16500,9.0
1732393042.3102279,17000,9.0
1732393837.95249,17500,9.0
1732394634.5116065,18000,9.0
1732395392.158258,18500,9.0
1732396192.8991346,19000,9.0
1732397189.538566,19500,9.0
1732399306.660332,20000,12.0
1732401393.405801,20500,9.0
1732402306.3951063,21000,9.0
1732403068.2540956,21500,3.0
1732403829.086616,22000,12.0
1732404605.2469537,22500,9.0
1732405408.0374656,23000,12.0
1732406178.6469018,23500,9.0
1732406937.1130488,24000,9.0
1732407682.9200022,24500,9.0
1732408451.1019075,25000,12.0
1732409257.839628,25500,9.0
1732410135.4565756,26000,9.0
1732411072.4493752,26500,9.0
1732411869.1707866,27000,9.0
1732412701.276658,27500,23.0
1732413628.2166498,28000,9.0
1732414425.1326752,28500,9.0
1732415248.5554,29000,9.0
1732416047.8841593,29500,9.0
1732416990.5044467,30000,9.0
1732417728.310821,30500,9.0
1732418494.9109836,31000,12.0
1732419277.3268418,31500,9.0
1732420109.9981022,32000,9.0
1732420890.2537518,32500,9.0
1732421603.3042326,33000,9.0
1732422309.134056,33500,20.0
1732423002.4133296,34000,23.0
1732423717.09024,34500,9.0
1732424423.1301832,35000,9.0
1732425123.4782343,35500,9.0
1732425827.6131601,36000,9.0
1732426464.957153,36500,9.0
1732427108.433745,37000,9.0
1732427741.1464546,37500,9.0
1732428372.669779,38000,12.0
1732428993.6621315,38500,12.0
1732429631.6163337,39000,9.0
1732430269.9934435,39500,9.0
1732431085.2392042,40000,23.0
1732431729.2737541,40500,12.0
1732432348.5491226,41000,9.0
1732432977.2732575,41500,12.0
1732433612.6369417,42000,17.0
1732434232.6685781,42500,3.0
1732434882.9692407,43000,9.0
1732435508.672015,43500,9.0
1732436133.7965498,44000,9.0
1732436765.6390057,44500,9.0
1732437401.8976526,45000,9.0
1732438038.0211003,45500,26.0
1732438662.0401607,46000,3.0
1732439286.695245,46500,9.0
1732439915.4352531,47000,3.0
1732440539.5020924,47500,9.0
1732441186.1366909,48000,17.0
1732441829.1267374,48500,9.0
1732442463.7305984,49000,9.0
1732443105.4538162,49500,12.0
1732443923.8279936,50000,12.0
1732444570.3343422,50500,12.0
1732445202.8529863,51000,26.0
1732445843.3330033,51500,20.0
1732446481.1366303,52000,12.0
1732447116.4115863,52500,9.0
1732447758.2630935,53000,12.0
1732448480.7357855,53500,12.0
1732449334.5078194,54000,12.0
1732450084.5071535,54500,9.0
1732450664.202977,55000,9.0
1732451163.9827788,55500,20.0
1732451646.085568,56000,20.0
1732452127.4534905,56500,9.0
1732452614.008424,57000,17.0
1732453107.961233,57500,9.0
1732453609.817964,58000,34.0
1732454108.250013,58500,9.0
1732454587.1905074,59000,12.0
1732455077.1073143,59500,17.0
1732455751.8323424,60000,9.0
1732456253.1867976,60500,17.0
1732456751.5337799,61000,9.0
1732457234.3470256,61500,23.0
1732457735.326765,62000,31.0
1732458237.3502836,62500,9.0
1732458666.8465633,63000,17.0
1732458877.6408463,63500,20.0
1732459085.6669786,64000,14.0
1732459403.4913015,64500,33.0
1732459615.4540758,65000,34.0
1732459822.9200246,65500,30.0
1732460133.4184272,66000,19.0
1732460550.9079664,66500,28.0
1732460962.536567,67000,22.0
1732461381.8310506,67500,31.0
1732461842.4823484,68000,37.0
1732462334.9373946,68500,37.0
1732462820.5191562,69000,17.0
1732463295.861787,69500,17.0
1732463700.4708126,70000,17.0
1732463925.7323334,70500,17.0
1732464125.451105,71000,17.0
1732464327.9394844,71500,17.0
1732464529.2581716,72000,14.0
1732464739.980862,72500,37.0
1732464932.3832934,73000,26.0
1732465120.9298224,73500,31.0
1732465308.8967233,74000,20.0
1732465503.386978,74500,63.0
1732465699.8391216,75000,34.0
1732465923.0263555,75500,34.0
1732466127.872701,76000,31.0
1732466335.1844814,76500,45.0
1732466560.761225,77000,17.0
1732466759.2461228,77500,45.0
1732466969.6822894,78000,34.0
1732467174.0040975,78500,26.0
1732467370.3377733,79000,43.0
1732467569.5997748,79500,26.0
1732467958.5844445,80000,9.0
1732468106.8005927,80500,43.0
1732468240.6721554,81000,26.0
1732468386.2933404,81500,17.0
1732468517.9205,82000,34.0
1732468657.498939,82500,31.0
1732468794.3029826,83000,34.0
1732468932.808736,83500,37.0
1732469076.1464658,84000,54.0
1732469204.9051287,84500,31.0
1732469349.321362,85000,40.0
1732469482.7109091,85500,68.0
1732469631.5471375,86000,43.0
1732469759.8712726,86500,31.0
1732469906.7632146,87000,17.0
1732470044.7425122,87500,37.0
1732470184.3609824,88000,34.0
1732470320.8448374,88500,34.0
1732470463.0534346,89000,43.0
1732470602.4816236,89500,46.0
1732470916.0050092,90000,54.0
1732471061.235632,90500,34.0
1732471199.4522543,91000,51.0
1732471342.7732198,91500,17.0
1732471472.9379208,92000,54.0
1732471616.390038,92500,17.0
1732471754.1946056,93000,37.0
1732471906.4190807,93500,51.0
1732472044.7964501,94000,17.0
1732472186.7989514,94500,9.0
1732472328.779882,95000,31.0
1732472475.148207,95500,34.0
1732472681.4318187,96000,17.0
1732473289.244844,96500,34.0
1732473907.2044325,97000,37.0
1732474558.747446,97500,65.0
1732475193.3075075,98000,51.0
1732475816.9958649,98500,48.0
1732476447.9871933,99000,31.0
1732477100.2434516,99500,57.0
1732477921.7090309,100000,31.0
1732478502.9900675,100500,9.0
1732479070.678529,101000,9.0
1732479635.0446951,101500,37.0
1732480157.7567148,102000,9.0
1732480726.0130787,102500,31.0
1732481343.7401698,103000,26.0
1732481973.7681675,103500,34.0
1732482611.25439,104000,9.0
1732483240.3668745,104500,60.0
1732483866.7639441,105000,31.0
1732484339.1180313,105500,51.0
1732484564.5292833,106000,54.0
1732484727.1893399,106500,68.0
1732485078.1114793,107000,62.0
1732485573.741396,107500,51.0
1732486148.5601425,108000,57.0
1732486692.486687,108500,48.0
1732487275.1088061,109000,51.0
1732487909.9126394,109500,51.0
1732488725.5235875,110000,43.0
1732489358.3829598,110500,51.0
1732489973.2049937,111000,37.0
1732490675.544409,111500,26.0
1732491369.647208,112000,56.0
1732492043.9605901,112500,37.0
1732492701.3516307,113000,34.0
1732493357.2737443,113500,65.0
1732494013.008142,114000,31.0
1732494728.9671845,114500,17.0
1732495512.1758566,115000,34.0
1732496241.5755022,115500,31.0
1732496905.3630688,116000,51.0
1732497525.3661807,116500,34.0
1732498142.8516648,117000,34.0
1732498779.0938852,117500,85.0
1732499411.105248,118000,23.0
1732500040.405432,118500,26.0
1732500646.1552916,119000,26.0
1732501230.7674427,119500,34.0
1732502100.7639136,120000,37.0
1732502880.7432873,120500,43.0
1732503508.2905996,121000,54.0
1732504138.5032563,121500,34.0
1732504764.6555197,122000,43.0
1732505387.2704353,122500,40.0
1732506090.747927,123000,17.0
1732506852.6749532,123500,76.0
1732507576.2477195,124000,67.0
1732508310.0750728,124500,51.0
1732508972.473277,125000,60.0
1732509654.1563053,125500,76.0
1732510319.9635534,126000,31.0
1732510990.9643233,126500,68.0
1732511665.6656592,127000,73.0
1732512301.7260966,127500,48.0
1732512930.3368812,128000,71.0
1732513555.16913,128500,37.0
1732514179.2824035,129000,73.0
1732514804.846967,129500,48.0
1732515600.4437973,130000,57.0
1732516232.9994783,130500,57.0
1732516865.5639477,131000,43.0
1732517494.2471185,131500,34.0
1732518129.8597944,132000,39.0
1732518770.0347047,132500,62.0
1732519406.8913848,133000,45.0
1732520047.665434,133500,68.0
1732520681.0523448,134000,51.0
1732521393.1051986,134500,51.0
1732522357.6156416,135000,68.0
1732523297.9366434,135500,31.0
1732524005.3958032,136000,54.0
1732525018.0455484,136500,34.0
1732525898.0548444,137000,62.0
1732526700.4015462,137500,17.0
1732527420.599612,138000,17.0
1732528287.6489484,138500,34.0
1732529149.9260206,139000,31.0
1732530062.783249,139500,34.0
1732531249.3060927,140000,68.0
1732532124.2815537,140500,37.0
1732533135.0537672,141000,82.0
1732534171.7746108,141500,85.0
1732535245.085429,142000,23.0
1732536302.9712439,142500,145.0
1732537347.9131086,143000,118.0
1732538714.7597814,143500,59.0
1732540194.654423,144000,107.0
1732541704.2349117,144500,57.0
1732543116.603427,145000,57.0
1732544416.1978853,145500,150.0
1732545693.2710507,146000,51.0
1732546950.8748994,146500,26.0
1732548146.8963518,147000,79.0
1732549227.6055822,147500,116.0
1732550298.396189,148000,107.0
1732551318.1164253,148500,34.0
1732552405.877951,149000,141.0
1732553446.039946,149500,105.0
1732554696.7244036,150000,102.0
