Wall time,Step,Value
1732382426.5799239,0,0.0
1732382427.3423784,500,9.0
1732382428.1242177,1000,3.0
1732382428.8823316,1500,6.0
1732382429.510912,2000,3.0
1732382430.24699,2500,0.0
1732382431.0034046,3000,3.0
1732382431.7353566,3500,8.0
1732382432.3984632,4000,11.0
1732382433.1673446,4500,6.0
1732382434.018139,5000,11.0
1732382434.7573624,5500,3.0
1732382435.3503287,6000,0.0
1732382435.9602356,6500,14.0
1732382436.5626159,7000,3.0
1732382437.148388,7500,0.0
1732382437.8915555,8000,3.0
1732382438.6438274,8500,3.0
1732382439.3843918,9000,3.0
1732382440.0204728,9500,3.0
1732382613.0819218,10000,6.0
1732383630.1849465,10500,8.0
1732384527.0981076,11000,6.0
1732385471.950713,11500,0.0
1732386408.385743,12000,0.0
1732387332.1173532,12500,3.0
1732388246.7451627,13000,14.0
1732389120.7761118,13500,6.0
1732390509.6554978,14000,20.0
1732392230.0597215,14500,9.0
1732393329.4836342,15000,9.0
1732394285.3808155,15500,9.0
1732395236.935503,16000,12.0
1732396190.817488,16500,9.0
1732397120.1546998,17000,12.0
1732398109.04291,17500,12.0
1732399046.625578,18000,12.0
1732399996.20593,18500,12.0
1732400962.5846,19000,9.0
1732401914.3310757,19500,9.0
1732402913.5904028,20000,9.0
1732403894.001156,20500,9.0
1732404881.0387244,21000,9.0
1732405901.8526554,21500,12.0
1732406936.7478478,22000,9.0
1732407965.210777,22500,29.0
1732409030.4671915,23000,9.0
1732410030.6005025,23500,12.0
1732411017.9424117,24000,9.0
1732411971.675388,24500,12.0
1732412934.5661573,25000,9.0
1732413991.8279672,25500,9.0
1732415009.0617979,26000,12.0
1732416027.3029687,26500,12.0
1732417023.4958453,27000,12.0
1732418056.9844573,27500,26.0
1732419067.7425308,28000,12.0
1732420156.1689217,28500,17.0
1732421168.8036425,29000,17.0
1732422214.8382168,29500,12.0
1732423469.5902457,30000,9.0
1732424574.0979784,30500,12.0
1732425637.3087316,31000,20.0
1732426675.5578423,31500,9.0
1732427749.1400015,32000,17.0
1732428806.5516977,32500,17.0
1732429815.3296282,33000,23.0
1732430839.346734,33500,28.0
1732431907.495602,34000,11.0
1732432967.87509,34500,9.0
1732434016.9094305,35000,26.0
1732435088.9115915,35500,9.0
1732436132.2522724,36000,23.0
1732437164.867944,36500,17.0
1732438189.6809022,37000,40.0
1732439249.457006,37500,14.0
1732440276.7731142,38000,14.0
1732441309.8754866,38500,25.0
1732442321.6039298,39000,14.0
1732443302.6938875,39500,14.0
1732444375.6710308,40000,45.0
1732445389.2187855,40500,9.0
1732446406.4226928,41000,9.0
1732447465.938782,41500,9.0
1732448522.296883,42000,34.0
1732449577.9531124,42500,43.0
1732450621.6422322,43000,34.0
1732451663.4943252,43500,17.0
1732452682.1937923,44000,26.0
1732453717.3444695,44500,46.0
1732454757.3553526,45000,34.0
1732455676.3407352,45500,31.0
1732456639.5112188,46000,17.0
1732457649.51274,46500,40.0
1732458713.800881,47000,31.0
1732459841.4552927,47500,40.0
1732461855.8882718,48000,40.0
1732463438.7654307,48500,59.0
1732464974.806801,49000,48.0
1732466297.5618389,49500,68.0
1732467622.4157481,50000,77.0
1732468559.6004133,50500,42.0
1732469495.252195,51000,99.0
1732470793.306459,51500,76.0
1732472333.339015,52000,101.0
1732473668.3445225,52500,54.0
1732474985.1773357,53000,125.0
1732476201.2034826,53500,76.0
1732477484.1924927,54000,94.0
1732478691.6814275,54500,102.0
1732479873.531547,55000,122.0
1732481099.0796866,55500,121.0
1732482254.184341,56000,107.0
1732483451.7999084,56500,118.0
1732484768.8541625,57000,159.0
1732485855.864038,57500,142.0
1732486852.786592,58000,107.0
1732487707.832111,58500,136.0
1732488544.9043489,59000,107.0
1732489375.431182,59500,133.0
1732490345.376223,60000,102.0
1732491339.293164,60500,113.0
1732492512.3970833,61000,139.0
1732493626.948327,61500,121.0
1732494394.1971576,62000,121.0
1732495165.8681922,62500,87.0
1732495926.0446217,63000,62.0
1732496768.6081774,63500,68.0
1732497619.3740706,64000,131.0
1732498833.0411325,64500,84.0
1732500753.0344324,65000,119.0
1732502072.791551,65500,70.0
1732503262.3033488,66000,56.0
1732504392.108757,66500,104.0
1732505644.7771924,67000,133.0
1732507215.5138965,67500,138.0
1732508927.0745628,68000,141.0
1732510212.0000532,68500,118.0
1732511486.2352738,69000,127.0
1732512792.3420575,69500,54.0
1732514322.3019426,70000,132.0
1732516176.5882926,70500,111.0
1732517694.8726034,71000,148.0
1732519177.7910628,71500,127.0
1732520651.7794213,72000,142.0
1732522023.828759,72500,138.0
1732523473.0023198,73000,127.0
1732524786.4324358,73500,132.0
1732526095.5470405,74000,162.0
1732527329.3502748,74500,130.0
1732528829.481834,75000,112.0
1732530081.7649434,75500,135.0
1732531323.8617547,76000,130.0
1732532765.9815035,76500,124.0
1732533996.5805306,77000,99.0
1732535164.4548326,77500,147.0
1732536531.8756816,78000,135.0
1732537742.0509758,78500,136.0
1732539043.9836528,79000,156.0
1732540201.1385512,79500,88.0
1732541563.223839,80000,159.0
1732542998.9089708,80500,141.0
1732544432.6961892,81000,143.0
1732545764.924223,81500,122.0
1732547097.4146285,82000,62.0
1732548356.6766992,82500,137.0
1732549622.5337825,83000,129.0
1732551157.5299745,83500,132.0
1732552751.84517,84000,138.0
1732554606.7311907,84500,125.0
