Wall time,Step,Value
1732383076.973109,0,0.0
1732383077.8561637,500,3.0
1732383078.695864,1000,3.0
1732383079.6492548,1500,3.0
1732383080.7577908,2000,9.0
1732383081.577517,2500,9.0
1732383082.153863,3000,8.0
1732383082.7230022,3500,11.0
1732383083.2933915,4000,6.0
1732383083.8671193,4500,6.0
1732383084.6484993,5000,8.0
1732383085.2029812,5500,3.0
1732383085.747274,6000,0.0
1732383086.3154655,6500,3.0
1732383086.8680627,7000,3.0
1732383087.4438632,7500,3.0
1732383088.0018477,8000,6.0
1732383088.5615885,8500,14.0
1732383089.1127765,9000,6.0
1732383089.6791277,9500,11.0
1732383235.116868,10000,11.0
1732383892.1347737,10500,3.0
1732384532.3165028,11000,6.0
1732385295.3274567,11500,0.0
1732385963.6670117,12000,3.0
1732386664.9875028,12500,0.0
1732387341.8908596,13000,6.0
1732387894.02777,13500,3.0
1732388531.2747154,14000,12.0
1732389028.165006,14500,3.0
1732389654.2521296,15000,0.0
1732390387.7340813,15500,0.0
1732391461.4839694,16000,0.0
1732392481.8029683,16500,0.0
1732393446.1494055,17000,0.0
1732394552.562693,17500,6.0
1732396156.030443,18000,3.0
1732397196.6988308,18500,0.0
1732398748.7036495,19000,6.0
1732400953.3309789,19500,0.0
1732404418.6959877,20000,0.0
1732407021.525849,20500,3.0
1732409628.6320548,21000,9.0
1732412045.6641304,21500,0.0
1732413878.2149043,22000,11.0
1732416377.3510377,22500,9.0
1732418887.2288487,23000,9.0
1732420704.6834533,23500,6.0
1732423385.5362525,24000,9.0
1732425100.1757143,24500,3.0
1732427763.4071977,25000,12.0
1732430641.6621532,25500,9.0
1732432500.586487,26000,6.0
1732433679.215366,26500,6.0
1732434590.974611,27000,0.0
1732435821.138806,27500,3.0
1732437154.3944056,28000,6.0
1732438050.6306977,28500,9.0
1732439330.8859158,29000,29.0
1732440278.833282,29500,14.0
1732441419.9349911,30000,9.0
1732442223.572549,30500,9.0
1732442697.1508212,31000,9.0
1732443184.97871,31500,17.0
1732443646.4495423,32000,9.0
1732444102.8941057,32500,12.0
1732444568.348166,33000,9.0
1732445034.8939555,33500,23.0
1732445492.0863864,34000,9.0
1732445987.1201556,34500,9.0
1732446430.107955,35000,12.0
1732446898.2901447,35500,9.0
1732447371.3904307,36000,9.0
1732447850.056452,36500,23.0
1732448335.0976121,37000,9.0
1732448821.625573,37500,9.0
1732449329.2394822,38000,12.0
1732449778.8561215,38500,23.0
1732450240.7008057,39000,12.0
1732450681.6573544,39500,9.0
1732451380.2580583,40000,9.0
1732451879.4060647,40500,9.0
1732452378.939911,41000,9.0
1732452902.3102365,41500,9.0
1732453408.8047373,42000,9.0
1732453917.1136312,42500,9.0
1732454448.6839612,43000,9.0
1732455001.142686,43500,9.0
1732455560.9682906,44000,9.0
1732456085.7481434,44500,9.0
1732456561.7710364,45000,12.0
1732457066.739116,45500,9.0
1732457569.6834745,46000,6.0
1732458081.12749,46500,23.0
1732458590.604214,47000,9.0
1732459093.0023596,47500,9.0
1732459587.3062718,48000,26.0
1732460062.600778,48500,9.0
1732460579.223527,49000,9.0
1732461072.7332113,49500,9.0
1732461740.6310654,50000,9.0
1732462267.0487993,50500,9.0
1732462752.3484223,51000,9.0
1732463226.4578807,51500,9.0
1732463696.3867507,52000,9.0
1732464199.4989347,52500,9.0
1732464681.3127067,53000,23.0
1732465160.251856,53500,12.0
1732465660.5035481,54000,12.0
1732466133.9918182,54500,9.0
1732466607.4584079,55000,9.0
1732467080.4225838,55500,26.0
1732467542.8327343,56000,9.0
1732468027.4604802,56500,12.0
1732468502.8921318,57000,23.0
