Wall time,Step,Value
1732382019.2210095,0,0.0
1732382020.052417,500,3.0
1732382020.8736565,1000,11.0
1732382021.515336,1500,6.0
1732382022.1019151,2000,3.0
1732382022.6792924,2500,0.0
1732382023.2780056,3000,3.0
1732382023.8772893,3500,6.0
1732382024.4889872,4000,20.0
1732382025.0863404,4500,3.0
1732382025.672866,5000,3.0
1732382026.3762615,5500,6.0
1732382026.9854069,6000,14.0
1732382027.5845184,6500,6.0
1732382028.195827,7000,8.0
1732382028.7854877,7500,3.0
1732382029.3794646,8000,11.0
1732382029.96234,8500,3.0
1732382030.555996,9000,14.0
1732382031.1462195,9500,6.0
1732382138.4871953,10000,14.0
1732382986.9019277,10500,3.0
1732383743.8772838,11000,0.0
1732384387.5972388,11500,3.0
1732385107.2645986,12000,3.0
1732385835.7991874,12500,9.0
1732386562.4855695,13000,0.0
1732387311.9582639,13500,3.0
1732388117.299945,14000,9.0
1732388911.9096458,14500,8.0
1732389628.3900197,15000,9.0
1732390239.4846077,15500,12.0
1732390850.342897,16000,11.0
1732391454.8989332,16500,11.0
1732392063.6757333,17000,25.0
1732392674.584352,17500,14.0
1732393288.4991038,18000,14.0
1732393893.8579834,18500,37.0
1732394504.7149572,19000,26.0
1732395118.424083,19500,37.0
1732395903.6560185,20000,25.0
1732396540.5582635,20500,31.0
1732397177.376848,21000,17.0
1732397817.806882,21500,23.0
1732398463.6442657,22000,17.0
1732399121.9219913,22500,9.0
1732399770.6773918,23000,43.0
1732400424.2626545,23500,9.0
1732401064.1770732,24000,9.0
1732401702.6259904,24500,23.0
1732402339.5224574,25000,26.0
1732402988.0615106,25500,9.0
1732403622.4604206,26000,9.0
1732404263.75557,26500,34.0
1732404917.1449106,27000,97.0
1732405567.7136452,27500,106.0
1732406205.97522,28000,95.0
1732406858.358071,28500,58.0
1732407500.6443195,29000,101.0
1732408137.4986606,29500,37.0
1732408903.4422052,30000,62.0
1732409524.658933,30500,60.0
1732410235.870011,31000,46.0
1732410917.8148322,31500,158.0
1732411602.3462985,32000,165.0
1732412281.3373692,32500,173.0
1732412970.6464202,33000,182.0
1732413654.7331727,33500,182.0
1732414345.7785573,34000,182.0
1732415027.7474568,34500,158.0
1732415775.7263498,35000,172.0
1732416487.3322911,35500,167.0
1732417174.9822352,36000,99.0
1732417868.556282,36500,164.0
1732418540.0482965,37000,146.0
1732419256.6216033,37500,62.0
1732419945.0357895,38000,173.0
1732420647.4748032,38500,160.0
1732421320.3718562,39000,163.0
1732421994.9803083,39500,157.0
1732422862.1719933,40000,151.0
1732423578.8462968,40500,172.0
1732424246.3329093,41000,182.0
1732424897.2474997,41500,121.0
1732425543.5860364,42000,93.0
1732426180.0886343,42500,107.0
1732426822.7049942,43000,116.0
1732427476.6340258,43500,145.0
1732428108.7814307,44000,154.0
1732428746.1594274,44500,143.0
1732429434.3700085,45000,158.0
1732430086.5323932,45500,158.0
1732430726.2703662,46000,127.0
1732431541.1097882,46500,152.0
1732432619.2202048,47000,176.0
1732434705.143123,47500,146.0
1732436381.4731312,48000,161.0
1732437871.2094543,48500,179.0
1732438946.4907417,49000,160.0
1732439722.1809216,49500,146.0
1732440706.726437,50000,158.0
1732441365.6578658,50500,155.0
1732442006.4097843,51000,151.0
1732442583.0590515,51500,140.0
1732443149.8898623,52000,181.0
1732443748.2717896,52500,170.0
1732444367.1128078,53000,165.0
1732444983.8533711,53500,163.0
1732445573.5879688,54000,160.0
1732446150.0074558,54500,159.0
1732446713.776898,55000,131.0
1732447262.1528604,55500,168.0
1732447841.373774,56000,177.0
1732448423.5414848,56500,132.0
1732448997.8607738,57000,165.0
1732449584.809733,57500,98.0
1732450177.7234185,58000,171.0
1732450743.5690274,58500,154.0
1732451318.0911107,59000,76.0
1732451957.1329503,59500,151.0
1732452648.1174614,60000,179.0
1732453289.0953875,60500,155.0
1732453944.5881896,61000,169.0
1732454563.197661,61500,118.0
1732455162.765597,62000,78.0
1732455731.020827,62500,164.0
1732456322.2156646,63000,107.0
1732456919.484681,63500,175.0
1732457494.1701026,64000,142.0
1732458098.607379,64500,171.0
1732458716.800536,65000,158.0
1732459353.3934884,65500,159.0
1732459968.1871758,66000,140.0
1732460581.8349352,66500,160.0
1732461193.4575205,67000,145.0
1732461804.8264031,67500,148.0
1732462427.2324343,68000,152.0
1732463030.9012,68500,140.0
1732463406.133227,69000,118.0
1732463646.320114,69500,140.0
1732464074.5399764,70000,143.0
1732464256.3264372,70500,82.0
1732464449.697849,71000,140.0
1732464648.2818353,71500,153.0
1732464840.047533,72000,145.0
1732465038.3468883,72500,147.0
1732465243.6366503,73000,146.0
1732465442.6052802,73500,120.0
1732465634.287084,74000,122.0
1732465829.7749488,74500,90.0
1732466034.8119366,75000,140.0
1732466233.3243954,75500,129.0
1732466427.7069063,76000,117.0
1732466622.218094,76500,118.0
1732466816.626517,77000,138.0
1732467021.18463,77500,134.0
1732467211.3272047,78000,128.0
1732467401.9466343,78500,131.0
1732467593.622589,79000,123.0
1732467785.0985937,79500,40.0
1732468161.4213698,80000,69.0
1732468354.9520779,80500,75.0
1732468548.357276,81000,73.0
1732468750.9581003,81500,115.0
1732468943.5995274,82000,135.0
1732469139.1823134,82500,131.0
1732469337.3412166,83000,101.0
1732469528.9553413,83500,143.0
1732469718.445715,84000,136.0
1732469916.3836083,84500,146.0
1732470115.104866,85000,116.0
1732470309.58031,85500,98.0
1732470493.9480433,86000,115.0
1732470687.3694584,86500,59.0
1732470881.997983,87000,107.0
1732471075.0505939,87500,112.0
1732471266.6247482,88000,109.0
1732471460.2005045,88500,90.0
1732471652.9736655,89000,145.0
1732471844.4323776,89500,96.0
1732472229.192891,90000,102.0
1732472423.1486552,90500,48.0
1732472621.3201926,91000,84.0
1732472820.5604172,91500,127.0
1732473023.4681034,92000,108.0
1732473222.5251648,92500,134.0
1732473417.5948505,93000,128.0
1732473611.0575137,93500,153.0
