Wall time,Step,Value
1732382652.7541907,0,0.0
1732382653.4829538,500,3.0
1732382654.2372565,1000,11.0
1732382654.9849539,1500,6.0
1732382655.7545724,2000,6.0
1732382656.520596,2500,8.0
1732382657.2728376,3000,3.0
1732382658.0104706,3500,11.0
1732382658.6395884,4000,9.0
1732382659.240687,4500,11.0
1732382659.9521296,5000,3.0
1732382660.592136,5500,11.0
1732382661.2182958,6000,20.0
1732382661.829425,6500,6.0
1732382662.4460166,7000,11.0
1732382663.0725722,7500,6.0
1732382663.7068365,8000,3.0
1732382664.3289337,8500,9.0
1732382665.09801,9000,3.0
1732382665.8558426,9500,8.0
1732382725.7130027,10000,0.0
1732383871.634753,10500,6.0
1732384602.3971524,11000,3.0
1732385327.7607148,11500,3.0
1732386156.040978,12000,6.0
1732387013.2855232,12500,0.0
1732387846.967094,13000,11.0
1732388536.1978817,13500,6.0
1732389247.5847585,14000,9.0
1732389952.0985372,14500,20.0
1732390879.840469,15000,6.0
1732391780.7229557,15500,12.0
1732392844.9054303,16000,9.0
1732394140.8868144,16500,9.0
1732395472.9262018,17000,9.0
1732396416.6459053,17500,12.0
1732397370.263328,18000,12.0
1732398243.9879255,18500,12.0
1732399194.1134346,19000,17.0
1732400148.7346287,19500,9.0
1732401205.5308743,20000,9.0
1732402164.7069783,20500,9.0
1732403235.8425586,21000,34.0
1732404213.1892366,21500,12.0
1732405192.0547764,22000,31.0
1732406164.8653505,22500,17.0
1732407131.2860575,23000,9.0
1732408133.3010223,23500,34.0
1732409178.8499734,24000,9.0
1732409921.6529217,24500,9.0
1732410544.3181274,25000,9.0
1732411198.5962791,25500,9.0
1732411891.6510217,26000,9.0
1732412740.8681548,26500,9.0
1732413759.9389338,27000,9.0
1732414560.0303342,27500,60.0
1732415674.5710845,28000,26.0
1732416550.0117385,28500,68.0
1732417471.9438887,29000,54.0
1732418330.856224,29500,140.0
1732419194.511998,30000,182.0
1732419915.7463655,30500,82.0
1732420587.461792,31000,147.0
1732421183.1477652,31500,149.0
1732421813.73901,32000,161.0
1732422383.0630863,32500,150.0
1732422933.3267536,33000,157.0
1732423456.3364315,33500,156.0
1732423983.3283548,34000,142.0
1732424520.1069684,34500,105.0
1732425054.0017447,35000,98.0
1732425577.4089017,35500,143.0
1732426250.4114208,36000,149.0
1732427158.113053,36500,156.0
1732427951.2702372,37000,149.0
1732428600.664836,37500,181.0
1732429126.279495,38000,164.0
1732429669.8809032,38500,135.0
1732430205.334349,39000,157.0
1732430738.1802688,39500,173.0
1732431450.4909863,40000,169.0
1732431978.7032464,40500,176.0
1732432512.5056741,41000,169.0
1732433043.1753414,41500,152.0
1732433626.0361514,42000,135.0
1732434152.1085868,42500,138.0
1732434639.6595993,43000,136.0
1732435131.211982,43500,88.0
1732435627.4220264,44000,161.0
1732436113.7258823,44500,161.0
1732436598.5325048,45000,127.0
1732437069.178046,45500,130.0
1732437526.769071,46000,161.0
1732438029.1295426,46500,146.0
1732438541.688859,47000,161.0
1732439058.8405366,47500,162.0
1732439582.4521775,48000,178.0
1732440106.6885169,48500,152.0
1732440617.6173167,49000,167.0
1732441138.6713507,49500,190.0
1732441829.5889664,50000,146.0
1732442365.0848255,50500,182.0
1732442925.677898,51000,166.0
1732443506.2841005,51500,176.0
1732444035.8239532,52000,152.0
1732444625.0106153,52500,143.0
1732445161.05073,53000,155.0
1732445694.9248009,53500,199.0
1732446193.4402912,54000,146.0
1732446672.7180986,54500,125.0
1732447157.9245439,55000,162.0
1732447652.7088406,55500,160.0
1732448127.9520957,56000,124.0
1732448609.270163,56500,175.0
1732449090.2172997,57000,140.0
1732449579.0843315,57500,161.0
1732450242.2168992,58000,163.0
1732450867.654999,58500,178.0
1732451456.8218772,59000,152.0
1732452061.343686,59500,169.0
1732452855.1675527,60000,155.0
1732453436.3684886,60500,138.0
1732454018.9277189,61000,142.0
1732454581.0774093,61500,138.0
1732455159.6130629,62000,162.0
1732455724.2694812,62500,146.0
1732456298.8919556,63000,162.0
1732456878.0748742,63500,114.0
1732457457.4643059,64000,146.0
1732458023.103404,64500,162.0
1732458543.482989,65000,149.0
1732459046.848248,65500,162.0
1732459566.4255984,66000,148.0
1732460087.1146915,66500,165.0
1732460598.774658,67000,175.0
1732461097.3881445,67500,147.0
1732461619.4036045,68000,173.0
1732462127.979809,68500,163.0
1732462678.1451776,69000,184.0
1732463230.9102569,69500,166.0
1732463864.3415906,70000,170.0
1732464889.439293,70500,97.0
1732465877.9716241,71000,122.0
1732466867.5959778,71500,17.0
1732467880.2450511,72000,183.0
1732469082.8950024,72500,122.0
1732470058.4203458,73000,59.0
1732471065.05091,73500,151.0
1732471967.816791,74000,142.0
1732472923.8641076,74500,98.0
1732474266.4605134,75000,48.0
1732475524.6534529,75500,115.0
1732476499.415501,76000,163.0
1732477741.9173918,76500,163.0
1732478987.7919729,77000,94.0
1732480270.6713426,77500,17.0
1732481668.3094969,78000,140.0
1732483124.1576686,78500,56.0
1732484535.9364038,79000,93.0
1732486203.5534503,79500,135.0
1732487453.0670137,80000,111.0
1732488576.4360309,80500,169.0
1732489697.1093786,81000,154.0
1732490812.1960108,81500,161.0
1732491906.2636032,82000,94.0
1732492753.130979,82500,146.0
1732493825.0370922,83000,128.0
1732497034.2108538,83500,139.0
1732500302.8297272,84000,119.0
1732503367.1615586,84500,125.0
1732506576.571108,85000,129.0
1732509613.1736748,85500,116.0
1732512557.0909977,86000,168.0
1732514922.0163832,86500,141.0
1732517566.0178163,87000,125.0
1732519765.3820918,87500,140.0
1732520419.6154437,88000,84.0
1732521053.624589,88500,109.0
1732521675.0573213,89000,134.0
1732522276.7629077,89500,139.0
1732523052.8176446,90000,116.0
1732523874.15345,90500,128.0
1732527238.3126698,91000,132.0
1732529243.3957424,91500,48.0
1732529994.0329564,92000,37.0
1732530682.6208832,92500,94.0
1732531346.3974593,93000,126.0
1732532075.9411404,93500,121.0
1732532737.118865,94000,118.0
1732533419.2600403,94500,87.0
1732534089.1232295,95000,105.0
1732534758.6227396,95500,108.0
1732535451.90283,96000,82.0
1732536117.9785357,96500,115.0
1732536792.9818416,97000,39.0
1732537481.2879372,97500,112.0
1732538147.7872043,98000,149.0
1732538817.6882637,98500,153.0
1732539476.6406078,99000,123.0
1732540144.3192725,99500,0.0
1732540992.1307385,100000,109.0
1732541664.1194382,100500,103.0
1732542334.368971,101000,42.0
1732542950.5090482,101500,172.0
1732543568.4922292,102000,114.0
1732544201.5382183,102500,84.0
1732544834.1608725,103000,84.0
1732545443.2291472,103500,148.0
1732546073.2623246,104000,139.0
1732546709.153833,104500,132.0
1732547324.8127656,105000,141.0
