Wall time,Step,Value
1732230869.4403276,0,0.0
1732230870.53928,500,16.0
1732230871.650926,1000,11.0
1732230872.4269235,1500,9.0
1732230873.05884,2000,0.0
1732230873.7202945,2500,8.0
1732230874.3768466,3000,8.0
1732230875.0512269,3500,16.0
1732230875.709309,4000,3.0
1732230876.3775134,4500,14.0
1732230877.0532873,5000,11.0
1732230877.6625612,5500,3.0
1732230878.2712386,6000,11.0
1732230878.88474,6500,16.0
1732230879.4982219,7000,8.0
1732230880.1477797,7500,3.0
1732230880.8943014,8000,8.0
1732230881.5341861,8500,0.0
1732230882.2058015,9000,14.0
1732230882.8670647,9500,6.0
1732231056.7440534,10000,17.0
1732231874.0385377,10500,9.0
1732233248.9475477,11000,0.0
1732234223.990914,11500,0.0
1732235026.9853978,12000,8.0
1732236327.2014759,12500,11.0
1732237112.7956257,13000,14.0
1732237848.878305,13500,17.0
1732238747.2954748,14000,9.0
1732239479.6493683,14500,11.0
1732240376.2613144,15000,11.0
1732241121.2903285,15500,20.0
1732241826.2811496,16000,14.0
1732242550.1767058,16500,41.0
1732243242.005456,17000,41.0
1732243916.6866107,17500,50.0
1732244595.2412345,18000,9.0
1732245441.9280665,18500,14.0
1732246201.297067,19000,6.0
1732246903.374142,19500,28.0
1732247777.0730655,20000,12.0
1732248595.1812377,20500,19.0
1732249334.401853,21000,30.0
1732250094.4413936,21500,36.0
1732250967.6568458,22000,11.0
1732251750.132271,22500,20.0
1732252620.2047374,23000,9.0
1732253404.9554818,23500,23.0
1732254202.0170987,24000,45.0
1732254971.7150996,24500,17.0
1732255729.4314613,25000,39.0
1732256477.2473931,25500,34.0
1732257228.8183496,26000,26.0
1732257980.7434385,26500,62.0
1732258733.978993,27000,56.0
1732259485.2974172,27500,36.0
1732260242.7278197,28000,39.0
1732261024.429875,28500,51.0
1732261789.6091545,29000,33.0
1732262558.8667896,29500,51.0
1732263493.161629,30000,61.0
1732264342.0661082,30500,40.0
1732265279.6433954,31000,70.0
1732266131.1582253,31500,49.0
1732266962.940218,32000,48.0
1732267729.1211402,32500,48.0
1732268356.2591252,33000,52.0
1732268966.73472,33500,68.0
1732269498.7478714,34000,23.0
1732270069.4267268,34500,40.0
1732270744.4318345,35000,35.0
1732271418.4720895,35500,49.0
1732272100.1773925,36000,37.0
1732272779.3902485,36500,28.0
1732273455.9609818,37000,46.0
1732274125.4793296,37500,32.0
1732274882.7433114,38000,57.0
1732275558.5824482,38500,57.0
1732276314.6866052,39000,63.0
1732277065.3817568,39500,37.0
1732278043.0644317,40000,18.0
1732278723.2349145,40500,46.0
1732279397.118178,41000,48.0
1732280121.7667425,41500,47.0
1732280917.3162267,42000,40.0
1732281803.3712356,42500,21.0
1732282586.6654284,43000,32.0
1732283359.6689272,43500,29.0
1732284141.3093922,44000,18.0
1732284925.8091013,44500,46.0
1732285789.630478,45000,35.0
1732286581.2358494,45500,29.0
1732287370.4385395,46000,46.0
1732287972.8415778,46500,51.0
1732288263.494799,47000,35.0
1732288557.0202823,47500,43.0
1732288863.0473256,48000,18.0
1732289157.2169075,48500,37.0
1732289463.8222733,49000,18.0
1732289760.416997,49500,32.0
1732290244.9371054,50000,18.0
1732290549.5122795,50500,62.0
1732290837.5954688,51000,54.0
1732291143.7209747,51500,71.0
1732291437.2923543,52000,48.0
1732291745.2174747,52500,57.0
1732292058.1247222,53000,54.0
1732292373.6547682,53500,65.0
1732292685.1583762,54000,48.0
1732292979.8239808,54500,51.0
1732293288.8850448,55000,46.0
1732293598.1720219,55500,40.0
1732293913.841413,56000,35.0
1732294215.5001435,56500,32.0
1732294498.5489886,57000,54.0
1732294787.9806175,57500,26.0
