Wall time,Step,Value
1732383176.6796796,0,0.0
1732383177.3754325,500,6.0
1732383178.0634801,1000,3.0
1732383178.872995,1500,22.0
1732383179.5826602,2000,14.0
1732383180.2632298,2500,16.0
1732383180.9305031,3000,0.0
1732383181.6395783,3500,14.0
1732383182.3025942,4000,0.0
1732383182.990733,4500,11.0
1732383183.649627,5000,11.0
1732383184.3183508,5500,16.0
1732383184.965685,6000,3.0
1732383185.6402483,6500,17.0
1732383186.294821,7000,0.0
1732383186.958174,7500,17.0
1732383187.8361015,8000,6.0
1732383188.5012054,8500,8.0
1732383189.1827528,9000,16.0
1732383189.882103,9500,9.0
1732383303.638214,10000,14.0
1732384098.1444674,10500,11.0
1732384997.768237,11000,11.0
1732385748.3334136,11500,14.0
1732386489.4279013,12000,11.0
1732387247.768787,12500,11.0
1732388025.6270401,13000,25.0
1732388813.5688012,13500,9.0
1732389458.2822375,14000,23.0
1732390179.4037719,14500,11.0
1732391008.0550587,15000,23.0
1732391771.6797311,15500,6.0
1732392583.2888672,16000,0.0
1732393603.9900157,16500,30.0
1732394352.8293514,17000,30.0
1732395116.286454,17500,30.0
1732395881.3837566,18000,53.0
1732396641.5837162,18500,0.0
1732397398.6786933,19000,58.0
1732398138.4901483,19500,35.0
1732399027.4761386,20000,67.0
1732399841.6826942,20500,69.0
1732400713.1100142,21000,51.0
1732401573.8821185,21500,62.0
1732402507.3030841,22000,21.0
1732403442.8282707,22500,28.0
1732404318.7700744,23000,54.0
1732405186.737122,23500,18.0
1732406033.0347295,24000,70.0
1732406915.0023615,24500,40.0
1732407828.7416897,25000,51.0
1732408743.5662618,25500,35.0
1732409737.0928633,26000,18.0
1732410481.3270552,26500,60.0
1732411244.673993,27000,15.0
1732412046.7921295,27500,35.0
1732412785.542209,28000,32.0
1732413528.1959796,28500,37.0
1732414279.3267863,29000,32.0
1732415285.7899928,29500,35.0
1732416217.687066,30000,51.0
1732417050.2622306,30500,35.0
1732417921.3675923,31000,40.0
1732418795.7214608,31500,48.0
1732419701.5236568,32000,59.0
1732420648.0276086,32500,68.0
1732421453.4969678,33000,82.0
1732422273.3542488,33500,43.0
1732423094.2197096,34000,39.0
1732423919.8039155,34500,50.0
1732424741.7618816,35000,39.0
1732425560.926379,35500,48.0
1732426390.934768,36000,23.0
1732427244.2114666,36500,47.0
1732428059.3863084,37000,39.0
1732428887.3727818,37500,34.0
1732429710.1413128,38000,62.0
1732430597.1377366,38500,23.0
1732431457.814041,39000,37.0
1732432320.3977277,39500,54.0
1732433349.7173765,40000,37.0
1732434187.625411,40500,37.0
1732434994.0970688,41000,37.0
1732435805.6404617,41500,21.0
1732436634.7237117,42000,38.0
1732437430.9488597,42500,29.0
1732438197.4147773,43000,54.0
1732438984.5938768,43500,48.0
1732439758.9433901,44000,34.0
1732440505.6314647,44500,52.0
1732441274.2342892,45000,77.0
1732442047.7838254,45500,40.0
1732442813.0329077,46000,18.0
1732443594.4346921,46500,73.0
1732444369.9290304,47000,18.0
1732445153.5477853,47500,21.0
1732445929.107612,48000,38.0
1732446734.1381838,48500,43.0
1732447540.2341275,49000,63.0
1732448353.656487,49500,53.0
1732449341.8309572,50000,65.0
1732450102.7488868,50500,34.0
1732450831.7743173,51000,53.0
1732451556.6812432,51500,34.0
1732452274.5092504,52000,48.0
1732452998.1679716,52500,30.0
1732453714.9059427,53000,45.0
1732454578.6230214,53500,45.0
1732455449.2011995,54000,17.0
1732456449.1150424,54500,50.0
1732457296.6712809,55000,64.0
1732458258.3899486,55500,46.0
1732459278.9815476,56000,21.0
1732460419.643369,56500,35.0
1732461614.3997314,57000,62.0
1732462915.4510653,57500,71.0
1732463868.4071236,58000,52.0
1732464533.7702847,58500,110.0
1732465317.1649666,59000,80.0
1732466044.1628816,59500,71.0
1732466926.143194,60000,38.0
1732467580.1363463,60500,63.0
1732468277.0009105,61000,82.0
1732468982.3370655,61500,71.0
1732469784.4728522,62000,59.0
1732470427.500381,62500,54.0
1732471086.544531,63000,56.0
1732471689.489357,63500,59.0
1732472302.3703127,64000,35.0
1732472922.398313,64500,68.0
1732473550.4212418,65000,62.0
1732474080.6748836,65500,57.0
1732474663.9992552,66000,80.0
1732475142.8399794,66500,74.0
1732475632.8948603,67000,35.0
1732476104.538289,67500,66.0
1732476539.2779922,68000,49.0
1732476944.8159175,68500,26.0
1732477896.8325973,69000,57.0
1732479203.631808,69500,48.0
1732480711.176105,70000,35.0
1732482324.1997736,70500,80.0
1732483994.9337833,71000,63.0
1732485606.5979934,71500,48.0
1732486829.249294,72000,60.0
1732488066.9619205,72500,35.0
1732489238.0869396,73000,57.0
1732490483.4167635,73500,52.0
1732491660.3136508,74000,18.0
1732492816.5954094,74500,40.0
1732493956.4677699,75000,74.0
1732495038.8667572,75500,43.0
1732496171.24164,76000,46.0
