Wall time,Step,Value
1732383453.5081792,0,0.0
1732383454.3988953,500,17.0
1732383455.235108,1000,0.0
1732383456.118096,1500,6.0
1732383456.8089795,2000,8.0
1732383457.5869846,2500,14.0
1732383458.3037872,3000,14.0
1732383459.0030818,3500,0.0
1732383459.7202835,4000,3.0
1732383460.439507,4500,0.0
1732383461.1795728,5000,9.0
1732383461.8526628,5500,11.0
1732383462.5903578,6000,6.0
1732383463.3336039,6500,17.0
1732383464.0735948,7000,6.0
1732383464.7935848,7500,3.0
1732383465.6402361,8000,15.0
1732383466.3750443,8500,3.0
1732383467.0776207,9000,0.0
1732383467.8810394,9500,14.0
1732383622.7792475,10000,8.0
1732384614.0069876,10500,3.0
1732386276.428323,11000,0.0
1732388078.9035463,11500,9.0
1732389617.223482,12000,17.0
1732391216.8397365,12500,6.0
1732392831.4752254,13000,3.0
1732395007.39774,13500,3.0
1732396350.0340638,14000,3.0
1732397576.3280544,14500,20.0
1732398638.7108183,15000,17.0
1732399546.028391,15500,0.0
1732400352.008892,16000,9.0
1732401292.841751,16500,23.0
1732402217.6366298,17000,31.0
1732402996.2833264,17500,17.0
1732403727.7445502,18000,31.0
1732404468.7625787,18500,26.0
1732405283.3004477,19000,12.0
1732406042.1547933,19500,12.0
1732407018.2812884,20000,25.0
1732407970.7964654,20500,23.0
1732408947.2854328,21000,0.0
1732409982.0649977,21500,0.0
1732410999.737847,22000,0.0
1732412057.1843646,22500,9.0
1732413069.797043,23000,34.0
1732414139.583043,23500,25.0
1732415055.9329722,24000,29.0
1732416040.3599775,24500,31.0
1732417036.6321142,25000,9.0
1732418126.541515,25500,23.0
1732419295.3947334,26000,9.0
1732420499.1962981,26500,12.0
1732421682.2474577,27000,12.0
1732422813.5171115,27500,28.0
1732423970.8178046,28000,23.0
1732425151.4011915,28500,23.0
1732426335.5806646,29000,12.0
1732427507.0595787,29500,14.0
1732428843.2288084,30000,8.0
1732430008.952176,30500,36.0
1732431144.259709,31000,17.0
1732432326.1090415,31500,37.0
1732433703.9882622,32000,28.0
1732434995.732468,32500,28.0
1732436194.0370014,33000,54.0
1732437440.468021,33500,48.0
1732438757.367173,34000,17.0
1732439980.6843028,34500,17.0
1732441207.1127777,35000,40.0
1732442430.5388458,35500,42.0
1732443780.7835174,36000,28.0
1732445108.2922952,36500,48.0
1732446674.1373217,37000,34.0
1732448239.4047012,37500,40.0
1732449700.1304488,38000,62.0
1732450755.077603,38500,62.0
1732451785.8708355,39000,31.0
1732452833.2901597,39500,9.0
1732453983.0462093,40000,79.0
1732454907.2046292,40500,59.0
1732455887.6579256,41000,77.0
1732456823.7593017,41500,29.0
1732457878.8015656,42000,54.0
1732458933.0665908,42500,43.0
1732459944.547138,43000,21.0
1732460895.407476,43500,18.0
1732461855.8215184,44000,35.0
1732462809.0927672,44500,18.0
1732463788.2101486,45000,42.0
1732464802.878103,45500,21.0
1732465647.842627,46000,18.0
1732466564.5765455,46500,49.0
1732467516.530019,47000,38.0
1732468460.7016733,47500,37.0
1732469421.3833473,48000,46.0
1732470382.281268,48500,62.0
1732471305.8382123,49000,40.0
1732472231.5715485,49500,74.0
1732473353.4876697,50000,85.0
1732474463.9025114,50500,35.0
1732475414.5252705,51000,18.0
1732476431.7531958,51500,51.0
1732477408.6403577,52000,38.0
1732478354.4713967,52500,48.0
1732479282.935329,53000,40.0
1732480229.4254708,53500,60.0
1732481099.7485995,54000,18.0
1732481829.4737697,54500,73.0
1732482579.405071,55000,74.0
1732483331.3681312,55500,40.0
1732484074.3520133,56000,12.0
1732484748.0572891,56500,40.0
1732485356.2124085,57000,34.0
1732486145.692596,57500,26.0
1732486905.2377553,58000,20.0
1732487665.772651,58500,26.0
1732488439.5057397,59000,35.0
1732489313.9243832,59500,43.0
1732490717.5135858,60000,18.0
1732491908.1520255,60500,40.0
1732493067.716485,61000,39.0
1732494228.6074636,61500,35.0
1732495374.0415301,62000,32.0
1732496544.952144,62500,12.0
1732497718.916928,63000,54.0
1732498696.7333887,63500,43.0
1732500085.7059717,64000,21.0
1732502187.742955,64500,35.0
1732503539.6855793,65000,77.0
1732504819.3814273,65500,29.0
1732505962.186082,66000,18.0
1732506886.0611877,66500,29.0
1732508354.1403182,67000,32.0
1732510113.317079,67500,32.0
1732511073.258612,68000,21.0
1732511952.4471457,68500,18.0
1732512813.730939,69000,49.0
1732513703.9670203,69500,21.0
1732514849.3684764,70000,26.0
1732516052.9338148,70500,35.0
1732517756.562161,71000,26.0
1732519486.8322637,71500,26.0
1732521297.0178242,72000,26.0
1732523066.668166,72500,62.0
1732524918.9979682,73000,77.0
1732526312.164481,73500,53.0
1732527665.43007,74000,23.0
1732529091.7066324,74500,37.0
1732530479.6981611,75000,60.0
1732531826.9499898,75500,60.0
1732533218.629962,76000,32.0
1732534648.4897554,76500,43.0
1732536043.9655383,77000,29.0
1732537421.1940022,77500,63.0
1732538753.0336435,78000,85.0
1732540117.4947436,78500,54.0
1732541608.713684,79000,48.0
1732543217.1109166,79500,29.0
1732544738.2042205,80000,31.0
1732546065.316093,80500,34.0
1732547283.194824,81000,37.0
1732548931.3320763,81500,54.0
1732550607.3837545,82000,68.0
1732552468.3378747,82500,49.0
1732555041.811819,83000,71.0
