Wall time,Step,Value
1732198989.823216,0,0.0
1732198990.6154737,500,3.0
1732198991.395409,1000,6.0
1732198992.1622508,1500,3.0
1732198992.69373,2000,6.0
1732198993.214777,2500,0.0
1732198993.7381647,3000,3.0
1732198994.293761,3500,9.0
1732198994.8093402,4000,0.0
1732198995.3415143,4500,8.0
1732198995.8933115,5000,6.0
1732198996.4177213,5500,3.0
1732198996.9630766,6000,9.0
1732198997.4866881,6500,3.0
1732198998.0283415,7000,12.0
1732198998.682594,7500,6.0
1732198999.230914,8000,6.0
1732198999.7681046,8500,6.0
1732199000.3057914,9000,3.0
1732199000.8208303,9500,0.0
1732199064.198165,10000,6.0
1732200027.9374871,10500,3.0
1732201252.889357,11000,0.0
1732202330.9232507,11500,0.0
1732203163.6308393,12000,3.0
1732203987.3686638,12500,0.0
1732204803.9487658,13000,0.0
1732205613.1365814,13500,0.0
1732206422.5299046,14000,6.0
1732207254.8043206,14500,0.0
1732208047.0100412,15000,0.0
1732209236.766078,15500,6.0
1732210671.188762,16000,6.0
1732211942.3556373,16500,0.0
1732213041.0119843,17000,0.0
1732214218.2541919,17500,12.0
1732215549.640917,18000,21.0
1732216907.3381352,18500,21.0
1732218127.0650432,19000,15.0
1732219425.743504,19500,12.0
1732220566.3610964,20000,18.0
1732222139.5887706,20500,18.0
1732223589.6979718,21000,21.0
1732224428.2516403,21500,18.0
1732225271.12819,22000,15.0
1732226251.891097,22500,12.0
1732227183.5107124,23000,15.0
1732228209.1538403,23500,18.0
1732229260.6460667,24000,18.0
1732230134.3630977,24500,35.0
1732230752.1354818,25000,18.0
1732231338.811166,25500,21.0
1732231922.6619737,26000,18.0
1732232677.5762775,26500,18.0
1732233378.2471676,27000,32.0
1732234054.5939574,27500,21.0
1732234750.1819668,28000,21.0
1732235427.8388398,28500,15.0
1732236110.8196628,29000,15.0
1732236826.2174754,29500,6.0
1732237733.885114,30000,21.0
1732238454.8836603,30500,15.0
1732239171.7571976,31000,12.0
