Wall time,Step,Value
1732230679.1271586,0,0.0
1732230679.8982587,500,3.0
1732230680.676217,1000,6.0
1732230681.5274458,1500,3.0
1732230682.310515,2000,6.0
1732230683.105566,2500,6.0
1732230683.868517,3000,0.0
1732230684.5246184,3500,9.0
1732230685.3438761,4000,12.0
1732230686.1124465,4500,3.0
1732230686.8789282,5000,12.0
1732230687.5080755,5500,6.0
1732230688.1229773,6000,0.0
1732230688.7381613,6500,0.0
1732230689.3843088,7000,6.0
1732230690.1001766,7500,6.0
1732230690.7209578,8000,0.0
1732230691.364081,8500,11.0
1732230692.2325819,9000,3.0
1732230693.1054406,9500,8.0
1732230864.7852209,10000,3.0
1732231561.4782944,10500,0.0
1732232246.4033084,11000,0.0
1732232942.6239588,11500,0.0
1732233662.874861,12000,0.0
1732234405.2034278,12500,3.0
1732235247.643298,13000,0.0
1732236013.6700084,13500,3.0
1732236739.07485,14000,0.0
1732237432.5474823,14500,3.0
1732238134.9672222,15000,0.0
1732238865.4606416,15500,0.0
1732239472.5089047,16000,12.0
1732240075.1883862,16500,12.0
1732240680.0588787,17000,12.0
1732241324.1129122,17500,12.0
1732242123.6056964,18000,9.0
1732242978.2035828,18500,9.0
1732243730.045721,19000,12.0
1732244336.9929776,19500,15.0
1732245083.538525,20000,12.0
1732245727.9510493,20500,12.0
1732246384.4809132,21000,12.0
1732246996.893774,21500,18.0
1732247643.9086046,22000,15.0
1732248277.3137002,22500,18.0
1732248927.9617536,23000,21.0
1732249550.6474154,23500,21.0
1732250215.916859,24000,18.0
1732250858.8054178,24500,18.0
1732251499.071227,25000,21.0
1732252147.449627,25500,15.0
1732252886.5483446,26000,21.0
1732253578.4369676,26500,18.0
1732254256.825417,27000,18.0
1732254941.111478,27500,18.0
1732255603.1968555,28000,18.0
1732256278.4599247,28500,18.0
1732256936.78195,29000,18.0
1732257587.5962727,29500,18.0
1732258428.8328948,30000,15.0
1732259066.647027,30500,21.0
1732259845.002139,31000,21.0
1732260824.7598214,31500,18.0
