Wall time,Step,Value
1732383724.6725292,0,0.0
1732383725.4745388,500,3.0
1732383726.2859695,1000,9.0
1732383727.1829612,1500,0.0
1732383727.964364,2000,6.0
1732383728.6165237,2500,3.0
1732383729.2837021,3000,3.0
1732383729.9287984,3500,0.0
1732383730.6125302,4000,6.0
1732383731.2702882,4500,9.0
1732383731.920782,5000,3.0
1732383732.5636477,5500,3.0
1732383733.2412298,6000,9.0
1732383733.9161131,6500,17.0
1732383734.5814672,7000,6.0
1732383735.3610134,7500,14.0
1732383736.0062802,8000,0.0
1732383736.6489632,8500,0.0
1732383737.2988002,9000,3.0
1732383737.9525678,9500,6.0
1732383793.1399105,10000,3.0
1732384599.5577083,10500,6.0
1732385394.3973672,11000,0.0
1732386288.9957774,11500,0.0
1732387282.6867394,12000,0.0
1732388263.6822991,12500,3.0
1732389282.5152216,13000,0.0
1732390293.0610082,13500,6.0
1732391262.08296,14000,3.0
1732392276.4611707,14500,0.0
1732393270.6309254,15000,3.0
1732394287.61007,15500,9.0
1732395278.8756416,16000,12.0
1732396276.4475675,16500,3.0
1732397281.4211419,17000,9.0
1732398293.8634598,17500,18.0
1732399282.6753268,18000,6.0
1732400319.0652757,18500,15.0
1732401306.4998848,19000,15.0
1732402343.110476,19500,18.0
1732403479.0520096,20000,12.0
1732404560.493588,20500,6.0
1732405629.4219081,21000,18.0
1732406709.146418,21500,18.0
1732407794.8190377,22000,12.0
1732408857.5006034,22500,15.0
1732409927.6583946,23000,12.0
1732411022.9246266,23500,18.0
1732412048.756146,24000,18.0
1732413211.1626325,24500,15.0
1732414672.9494333,25000,6.0
1732415935.573314,25500,15.0
1732417119.5796342,26000,15.0
1732418230.7608955,26500,18.0
1732419350.7976274,27000,18.0
1732420358.0243502,27500,18.0
1732421349.4772816,28000,18.0
1732422432.9348238,28500,18.0
1732423525.9729264,29000,18.0
1732424645.5659778,29500,32.0
1732425799.2361336,30000,12.0
1732426959.1139662,30500,6.0
1732428118.2490635,31000,18.0
1732429282.339603,31500,18.0
1732430444.1506631,32000,18.0
1732431616.2900162,32500,18.0
1732432777.1618555,33000,12.0
1732433966.3021295,33500,18.0
1732435039.4116414,34000,18.0
1732436062.601657,34500,18.0
1732437077.319358,35000,21.0
