Wall time,Step,Value
1732382754.492272,0,0.0
1732382755.2636256,500,14.0
1732382756.0498738,1000,3.0
1732382756.8369215,1500,11.0
1732382757.6031418,2000,17.0
1732382758.3475096,2500,9.0
1732382759.1072943,3000,9.0
1732382759.8814986,3500,3.0
1732382760.6464376,4000,20.0
1732382761.4000685,4500,20.0
1732382762.2922163,5000,6.0
1732382763.049204,5500,9.0
1732382763.8024414,6000,3.0
1732382764.5819376,6500,3.0
1732382765.3452384,7000,14.0
1732382766.1202903,7500,3.0
1732382766.882748,8000,14.0
1732382767.6480067,8500,12.0
1732382768.4136584,9000,9.0
1732382769.188718,9500,6.0
1732382921.6515727,10000,6.0
1732384883.62808,10500,3.0
1732386912.196023,11000,6.0
1732388122.6868927,11500,0.0
1732388956.6197348,12000,0.0
1732389817.4545941,12500,3.0
1732391804.5353954,13000,9.0
1732394118.3201056,13500,8.0
1732396309.744753,14000,23.0
1732398369.0820053,14500,22.0
1732400507.579358,15000,14.0
1732402645.318589,15500,9.0
1732404999.5580974,16000,9.0
1732407058.1048725,16500,25.0
1732409017.5798836,17000,26.0
1732410770.117398,17500,28.0
1732412231.205476,18000,28.0
1732414541.904896,18500,17.0
1732416153.4726932,19000,48.0
1732417402.1237874,19500,25.0
1732418505.4903538,20000,28.0
1732419484.1290557,20500,31.0
1732419967.4329555,21000,25.0
1732420932.5650806,21500,36.0
1732421776.4058862,22000,31.0
1732422673.5734758,22500,16.0
1732423610.1157436,23000,33.0
1732424517.6636193,23500,36.0
1732425470.730349,24000,25.0
1732426390.4165702,24500,9.0
1732427295.5144722,25000,9.0
1732428165.2601125,25500,31.0
1732429036.363245,26000,23.0
1732429907.5594013,26500,31.0
1732430808.5498796,27000,28.0
1732431752.484806,27500,31.0
1732432570.2358441,28000,34.0
1732433437.7985046,28500,34.0
1732434387.9310937,29000,34.0
1732435504.5693347,29500,37.0
1732436703.0942714,30000,51.0
1732438532.8403292,30500,22.0
1732440254.9613261,31000,56.0
1732441955.5897377,31500,45.0
1732443662.6259878,32000,28.0
1732445215.4147198,32500,42.0
1732446907.3057306,33000,34.0
1732448511.6694963,33500,48.0
1732450061.4221363,34000,31.0
1732451319.7193465,34500,31.0
1732452114.6486819,35000,28.0
1732452865.7804053,35500,37.0
1732453635.1298623,36000,39.0
1732454424.2751915,36500,31.0
1732455226.296239,37000,65.0
1732456022.1382875,37500,34.0
1732456809.3841724,38000,34.0
1732457743.8109837,38500,40.0
1732458729.1163435,39000,34.0
1732459745.8337789,39500,37.0
1732460800.9654176,40000,48.0
1732461686.745469,40500,9.0
1732462564.5690958,41000,39.0
1732463449.309737,41500,43.0
1732464515.5462656,42000,26.0
1732465549.379708,42500,26.0
1732466624.1406655,43000,26.0
1732467682.7833393,43500,26.0
1732468734.2854228,44000,23.0
1732469822.5533261,44500,9.0
1732470635.4047887,45000,68.0
1732471427.3131838,45500,156.0
1732472198.525387,46000,142.0
1732472990.2015758,46500,141.0
1732473722.7129476,47000,122.0
1732474482.731453,47500,127.0
1732475273.3823702,48000,123.0
1732476040.4313877,48500,138.0
1732476999.6364534,49000,149.0
1732478763.556357,49500,124.0
1732480461.5348747,50000,121.0
1732481889.7906508,50500,102.0
1732483947.7130086,51000,60.0
1732486514.1188877,51500,124.0
1732488786.79519,52000,142.0
1732491172.8088443,52500,65.0
1732492703.664879,53000,139.0
1732494656.6297734,53500,91.0
1732497353.5471222,54000,105.0
1732500209.4177904,54500,145.0
1732502258.978854,55000,85.0
1732504843.9433346,55500,82.0
1732506294.5658095,56000,77.0
1732507747.024219,56500,76.0
1732509167.6079671,57000,96.0
1732510295.645088,57500,85.0
1732511420.9316316,58000,130.0
1732512546.7099571,58500,73.0
1732513692.7682483,59000,9.0
1732514816.5892055,59500,37.0
1732516123.763747,60000,37.0
1732517685.0705662,60500,54.0
1732519317.6040244,61000,40.0
1732520870.9736633,61500,42.0
1732522477.5147169,62000,84.0
1732524075.071032,62500,23.0
1732525650.9768438,63000,40.0
1732527293.0916355,63500,26.0
1732529608.7609031,64000,37.0
1732531896.7572792,64500,26.0
1732534319.5669146,65000,59.0
1732536049.1841946,65500,96.0
1732537598.2573366,66000,98.0
1732539333.4312139,66500,74.0
1732541883.0878494,67000,34.0
1732543494.191905,67500,79.0
1732545133.4219928,68000,95.0
1732546773.5765781,68500,110.0
1732547881.726135,69000,129.0
1732549016.4696481,69500,118.0
1732550284.6725183,70000,124.0
1732551756.025095,70500,110.0
1732553021.2776897,71000,132.0
1732554300.2194188,71500,118.0
